Id_lichens,Espece_lichens,Id_arbre,Id_quadrat
3649559,Pleurosticta acetabulum,3649555,144
3649560,Parmelia sulcata,3649555,145
3649561,Physconia grisea,3649555,146
3649562,Punctelia sp.,3649555,147
3649563,Evernia prunastri,3649555,148
3649564,Flavoparmelia caperata/soredians,3649555,149
3649565,autre lichen foliacé,3649555,150
3649566,Physcia adscendens/tenella,3649555,151
3649567,Amandinea punctata/Lecidella elaeochroma,3649555,152
3649568,Xanthoria parietina,3649555,153
3649569,lichen crustacé à aspect poudreux,3649555,154
3649570,Melanohalea exasperata,3649555,155
3650002,Punctelia sp.,3650001,156
3650003,Pleurosticta acetabulum,3650001,157
3650004,Parmelia sulcata,3650001,158
3650005,Evernia prunastri,3650001,159
3650006,Candelaria concolor,3650001,160
3650007,Flavoparmelia caperata/soredians,3650001,161
3650008,Phaeophyscia orbicularis,3650001,162
3650009,Physcia adscendens/tenella,3650001,163
3650010,Physcia aipolia/stellaris,3650001,164
3650011,Physconia distorta,3650001,165
3650012,autre lichen foliacé,3650001,166
3650014,Parmelia sulcata,3650013,167
3650015,Pleurosticta acetabulum,3650013,168
3650016,Evernia prunastri,3650013,169
3650017,Candelaria concolor,3650013,170
3650018,Phaeophyscia orbicularis,3650013,171
3650019,Physcia adscendens/tenella,3650013,172
3650020,Physcia aipolia/stellaris,3650013,173
3650021,Physconia distorta,3650013,174
3650022,autre lichen foliacé,3650013,175
3650023,Punctelia sp.,3650013,176
3650024,Flavoparmelia caperata/soredians,3650013,177
3650025,Parmelina tiliacea/pastillifera,3650013,178
3650026,autre lichen foliacé,3650013,179
3650607,Physcia adscendens/tenella,3650606,180
3650608,Xanthoria parietina,3650606,181
3650609,Parmelia sulcata,3650606,182
3650610,Physconia distorta,3650606,183
3650611,Physcia aipolia/stellaris,3650606,184
3650612,Phaeophyscia orbicularis,3650606,185
3650613,Evernia prunastri,3650606,186
3650614,Pleurosticta acetabulum,3650606,187
3650615,Physconia grisea,3650606,188
3650616,Melanohalea exasperata,3650606,189
3650617,autre lichen foliacé,3650606,190
3650618,Physcia adscendens/tenella,0,191
3650619,Xanthoria parietina,0,192
3650620,Parmelia sulcata,0,193
3650621,Physconia distorta,0,194
3650622,Physcia aipolia/stellaris,0,195
3650623,Phaeophyscia orbicularis,0,196
3650624,Evernia prunastri,0,197
3650625,Pleurosticta acetabulum,0,198
3650626,Physconia grisea,0,199
3650627,Melanohalea exasperata,0,200
3650628,autre lichen foliacé,0,201
3650629,Flavoparmelia caperata/soredians,0,202
3650630,Hypogymnia physodes/tubulosa,0,203
3650631,autre lichen foliacé,0,204
3651602,Physcia adscendens/tenella,3651276,205
3651603,Physcia adscendens/tenella,0,206
3651604,Physcia adscendens/tenella,0,207
3651605,Xanthoria parietina,3651276,208
3651606,Xanthoria parietina,0,209
3651607,Xanthoria parietina,0,210
3651608,Lecanora sp.,3651276,211
3651609,Lecanora sp.,0,212
3651610,Lecanora sp.,0,213
3651611,Amandinea punctata/Lecidella elaeochroma,3651276,214
3651612,Amandinea punctata/Lecidella elaeochroma,0,215
3651613,Amandinea punctata/Lecidella elaeochroma,0,216
3651614,Evernia prunastri,3651276,217
3651615,Physcia leptalea,0,218
3651865,Evernia prunastri,3651863,219
3651866,Parmelia sulcata,3651863,220
3651867,Pleurosticta acetabulum,3651863,221
3651868,Xanthoria parietina,3651863,222
3651869,Physcia aipolia/stellaris,3651863,223
3651870,Physconia distorta,3651863,224
3651871,Physconia grisea,3651863,225
3651872,Physcia adscendens/tenella,3651863,226
3651873,Melanohalea exasperata,3651863,227
3651874,Hypogymnia physodes/tubulosa,3651863,228
3651879,autre lichen foliacé,3651863,229
3651880,Parmelina tiliacea/pastillifera,3651863,230
3651881,autre lichen foliacé,3651863,231
3651882,Phaeophyscia orbicularis,3651863,232
3651885,Evernia prunastri,3651884,233
3651886,Parmelia sulcata,3651884,234
3651887,Pleurosticta acetabulum,3651884,235
3651888,Xanthoria parietina,3651884,236
3651889,Flavoparmelia caperata/soredians,3651884,237
3651890,Physconia distorta,3651884,238
3651891,Physcia aipolia/stellaris,3651884,239
3651892,Physconia grisea,3651884,240
3651893,Physcia adscendens/tenella,3651884,241
3651894,Melanohalea exasperata,3651884,242
3651895,Phaeophyscia orbicularis,3651884,243
3651896,Lecanora sp.,3651884,244
3651897,Amandinea punctata/Lecidella elaeochroma,3651884,245
3651898,Melanelixia glabratula/subaurifera,3651884,246
3652400,Evernia prunastri,3652385,247
3652401,Physcia adscendens/tenella,3652385,248
3652402,Parmelia sulcata,3652385,249
3652403,Hypogymnia physodes/tubulosa,3652385,250
3652404,Punctelia sp.,3652385,251
3652405,Physconia grisea,3652385,252
3652406,Melanelixia glabratula/subaurifera,3652385,253
3652407,Flavoparmelia caperata/soredians,3652385,254
3652408,Parmelia saxatilis,3652385,255
3652409,lichen crustacé à aspect poudreux,3652385,256
3652410,Evernia prunastri,0,257
3652411,Physcia adscendens/tenella,0,258
3652412,Parmelia sulcata,0,259
3652413,Hypogymnia physodes/tubulosa,0,260
3652414,Xanthoria parietina,0,261
3652415,Punctelia sp.,0,262
3652416,Melanelixia glabratula/subaurifera,0,263
3652417,lichen crustacé à aspect poudreux,0,264
3652418,Physcia adscendens/tenella,0,265
3652419,Parmelia sulcata,0,266
3652420,Hypogymnia physodes/tubulosa,0,267
3652421,Xanthoria parietina,0,268
3652422,Punctelia sp.,0,269
3652423,Melanelixia glabratula/subaurifera,0,270
3652626,Phaeophyscia orbicularis,3652625,271
3652627,Xanthoria parietina,3652625,272
