Id_site,ext:latitude-releve,ext:longitude-releve,ext:rue,Commune,Pays
48.8464972.335844,48.846497,2.335844,Allée du Séminaire,Paris,FR
48.8468582.336462,48.846858,2.336462,Allée du Séminaire,Paris,FR
48.8039442.254547,48.803944,2.254547,Rue Brignole Galliera,Clamart,FR
48.8759082.082219,48.875908,2.082219,Rue de la Sabotte,Marly-le-Roi,FR
45.668184.818063,45.66818,4.818063,Avenue Charles de Gaulle,Irigny,FR
49.0415672.072071,49.041567,2.072071,Boulevard de l'Oise,Cergy,FR
48.8303422.401811,48.830342,2.401811,Boulevard Périphérique Intérieur,Paris,FR
48.8298482.404954,48.829848,2.404954,Route du Bac,Paris,FR
48.8314862.404608,48.831486,2.404608,Route du Bac,Paris,FR
48.8325162.404196,48.832516,2.404196,Avenue Charles de Foucauld,Paris,FR
48.8306582.406725,48.830658,2.406725,Route du Bac,Paris,FR
48.830662.409668,48.83066,2.409668,Route de la Ceinture du Lac Daumesnil,Paris,FR
48.8307052.406718,48.830705,2.406718,Route du Bac,Paris,FR
48.8336472.413347,48.833647,2.413347,Avenue Daumesnil,Saint-Mandé,FR
48.8307592.399352,48.830759,2.399352,Route des Fortifications,Paris,FR
48.831252.404267,48.83125,2.404267,Route du Bac,Paris,FR
48.8327692.405044,48.832769,2.405044,Avenue Charles de Foucauld,Paris,FR
48.8327582.405044,48.832758,2.405044,Avenue Charles de Foucauld,Paris,FR
48.8298642.405141,48.829864,2.405141,Route du Bac,Paris,FR
48.8321922.404643,48.832192,2.404643,Route du Bac,Paris,FR
43.0514310.146953,43.051431,0.146953,Chemin du Vallon de Salut,Bagnères-de-Bigorre,FR
45.8260741.233323,45.826074,1.233323,Passage du Moulin à Vent,Limoges,FR
45.8262461.23351,45.826246,1.23351,Passage du Moulin à Vent,Limoges,FR
47.3449155.046228,47.344915,5.046228,Rue Ernest Renan,Dijon,FR
45.8307021.252323,45.830702,1.252323,Rue de l'Amphithéatre,Limoges,FR
45.8305921.252098,45.830592,1.252098,Rue de l'Amphithéatre,Limoges,FR
45.6020214.709101,45.602021,4.709101,Chemin du Gué,Beauvallon,FR
45.6048324.734249,45.604832,4.734249,Rue des Confins du Château,Beauvallon,FR
44.622972-1.137369,44.622972,-1.137369,Rue Michel Labarthe,La Teste-de-Buch,FR
45.8262241.248472,45.826224,1.248472,Cours Jean Pénicaud,Limoges,FR
43.561231.447665,43.56123,1.447665,Chemin des Côtes de Pech David,Toulouse,FR
48.6950046.208037,48.695004,6.208037,Boulevard Jean Jaurès,Tomblaine,FR
48.6983756.204384,48.698375,6.204384,Rue de la Digue,Tomblaine,FR
45.7428824.71441,45.742882,4.71441,Rue de la Gatolière,Craponne,FR
48.6019852.039337,48.601985,2.039337,Chemin Rural Numéro 17,Angervilliers,FR
45.74953.09873,45.7495,3.09873,Rue de la Mourette,Beaumont,FR
45.749223.09913,45.74922,3.09913,Rue de la Mourette,Beaumont,FR
48.9020952.453059,48.902095,2.453059,La Pergola,Bobigny,FR
48.9020852.452978,48.902085,2.452978,La Pergola,Bobigny,FR
48.8815792.50616,48.881579,2.50616,Allée Latérale Ouest,Villemomble,FR
45.8318471.264415,45.831847,1.264415,Place Jourdan,Limoges,FR
48.83802545062072.3949211836952604,48.8380254506207,2.3949211836952604,Rue de la Brèche aux Loups,Paris,FR
48.817592040533382.3945420980453496,48.81759204053338,2.3945420980453496,Rue Jean-Jacques Rousseau,Ivry-sur-Seine,FR
48.931352896894782.2948873043060307,48.93135289689478,2.2948873043060307,Rue Jean Jaurès,Gennevilliers,FR
48.990848584378882.4449086189270024,48.99084858437888,2.4449086189270024,Rue du Commandant Maurice Fourneau,Gonesse,FR
48.582367148640761.8834042549133303,48.58236714864076,1.8834042549133303,Allée Verte,Sonchamp,FR
48.640484198223042.268161773681641,48.64048419822304,2.268161773681641,Place de l'Europe,Montlhéry,FR
48.775442879353692.376183271128412,48.77544287935369,2.376183271128412,Le Hameau du Coteau,Vitry-sur-Seine,FR
48.706903712596932.456261516101677,48.70690371259693,2.456261516101677,Place de Rottembourg,Montgeron,FR
48.925286166487432.356535196836376,48.92528616648743,2.356535196836376,Avenue du Président Wilson,Saint-Denis,FR
48.9514275328805942.22226917704802,48.951427532880594,2.22226917704802,Allée Henri Wallon,Argenteuil,FR
48.935850777744282.358977794640396,48.93585077774428,2.358977794640396,Place Victor Hugo,Saint-Denis,FR
48.828299489953442.3590975999491097,48.82829948995344,2.3590975999491097,Rue George Eastman,Paris,FR
48.83816079771732.4085593217841965,48.8381607977173,2.4085593217841965,Boulevard Soult,Paris,FR
48.84021214893882.6347070920570563,48.8402121489388,2.6347070920570563,Cours des Lacs,Lognes,FR
48.816459354063482.5169312955790706,48.81645935406348,2.5169312955790706,Rue de Bernau,Champigny-sur-Marne,FR
48.62718978725222.4292552472184075,48.6271897872522,2.4292552472184075,Allée Jacquard,Évry,FR
48.85241612564682.3598468304635394,48.8524161256468,2.3598468304635394,Rue Poulletier,Paris,FR
48.892310396822582.346169352742891,48.89231039682258,2.346169352742891,Square de Clignancourt,Paris,FR
48.891139426159232.240073681225568,48.89113942615923,2.240073681225568,Avenue Perronet Sud,Puteaux,FR
48.996578850010841.7033439878673566,48.99657885001084,1.7033439878673566,Rue Émile Zola,Mantes-la-Jolie,FR
48.838850475803552.4128544330460504,48.83885047580355,2.4128544330460504,Rue Édouard Lartet,Paris,FR
45.749284901882693.088096976280213,45.74928490188269,3.088096976280213,Rue des Têtes,Beaumont,FR
45.749341051169653.0901730060577397,45.74934105116965,3.0901730060577397,Rue des Têtes,Beaumont,FR
45.790157857345813.070614337921143,45.79015785734581,3.070614337921143,Parc Montjuzet,Clermont-Ferrand,FR
45.769715768768763.136526942253113,45.76971576876876,3.136526942253113,Rue Jean-Auguste Senèze,Clermont-Ferrand,FR
45.753578287717993.1304597854614262,45.75357828771799,3.1304597854614262,Avenue du Roussillon,Aubière,FR
45.765154185109383.042021989822388,45.76515418510938,3.042021989822388,Chemin du Breuil,Royat,FR
48.899499036939892.338296175003052,48.89949903693989,2.338296175003052,Rue René Binet,Paris,FR
45.76010033.0638589,45.7601003,3.0638589,Allée Bel Air,Ceyrat,FR
45.7402983.060395,45.740298,3.060395,Avenue de la Vialle,Ceyrat,FR
47.596553473925981.3294395804405217,47.59655347392598,1.3294395804405217,Rue Honoré de Balzac,Blois,FR
47.596311102327331.3294449448585512,47.59631110232733,1.3294449448585512,Rue Honoré de Balzac,Blois,FR
47.598199400604851.3307592272758486,47.59819940060485,1.3307592272758486,Rue Honoré de Balzac,Blois,FR
47.596582413743331.329171359539032,47.59658241374333,1.329171359539032,Avenue du Maréchal Leclerc,Blois,FR
47.596769576291181.3301932811737065,47.59676957629118,1.3301932811737065,Avenue du Maréchal Leclerc,Blois,FR
47.59674121.3289098,47.5967412,1.3289098,Avenue de Châteaudun,Blois,FR
47.59672271.3297825,47.5967227,1.3297825,Avenue de Châteaudun,Blois,FR
47.5966463412909351.3292169570922854,47.596646341290935,1.3292169570922854,Avenue du Maréchal Leclerc,Blois,FR
47.597488361341731.32897824048996,47.59748836134173,1.32897824048996,Rue Honoré de Balzac,Blois,FR
47.596987569505551.3295415043830872,47.59698756950555,1.3295415043830872,Rue Honoré de Balzac,Blois,FR
47.59691991.3296927,47.5969199,1.3296927,Avenue de Châteaudun,Blois,FR
45.7400906302040943.0607062578201294,45.740090630204094,3.0607062578201294,Avenue de la Vialle,Ceyrat,FR
45.752807224445293.117644190788269,45.75280722444529,3.117644190788269,Allée des Anciens Combattants d'Algérie Tunisie Maroc,Aubière,FR
45.752799738341883.1175744533538823,45.75279973834188,3.1175744533538823,Allée des Anciens Combattants d'Algérie Tunisie Maroc,Aubière,FR
45.734111295001483.1028383970260625,45.73411129500148,3.1028383970260625,Rue du Stade,Romagnat,FR
