,Identifiant,Espèce,Latitude,Longitude,Commune,Pays,Date Création
2053,3791568.0,Celtis australis L.,48.83809,2.40879,Paris,FR,2021-06-22 13:48:20
2054,3791569.0,Celtis australis L.,48.83807,2.40888,Paris,FR,2021-06-22 13:48:20
2078,3791593.0,Fraxinus excelsior L.,48.84016,2.63487,Lognes,FR,2021-06-22 14:05:52
2079,3791594.0,Fagus sylvatica L.,48.84012,2.63545,Lognes,FR,2021-06-22 14:05:52
2080,3791595.0,Aesculus x carnea,48.84008,2.63393,Lognes,FR,2021-06-22 14:05:53
2117,3791634.0,Acer platanoides L.,48.8163,2.51693,Champigny-sur-Marne,FR,2021-06-22 14:39:58
2118,3791635.0,Acer platanoides L.,48.81636,2.51694,Champigny-sur-Marne,FR,2021-06-22 14:39:58
2119,3791636.0,Acer platanoides L.,48.81642,2.51694,Champigny-sur-Marne,FR,2021-06-22 14:39:59
2154,3791672.0,Zelkova serrata (Thunb.) Makino,48.62756,2.42927,Évry,FR,2021-06-22 15:33:32
2155,3791673.0,Magnolia liliiflora Desr.,48.62786,2.42927,Évry,FR,2021-06-22 15:33:32
2156,3791674.0,Quercus rubra L.,48.62699,2.42941,Évry,FR,2021-06-22 15:33:32
2178,3791696.0,Populus nigra L.,48.85247,2.3596,Paris,FR,2021-06-22 16:04:25
2179,3791697.0,Populus nigra L.,48.85255,2.35936,Paris,FR,2021-06-22 16:04:25
2180,3791698.0,Populus nigra L.,48.8526,2.35922,Paris,FR,2021-06-22 16:04:26
2198,3791719.0,Pyrus calleryana Decne.,48.89232,2.34609,Paris,FR,2021-06-22 16:46:39
2199,3791720.0,Pyrus calleryana Decne.,48.89242,2.34615,Paris,FR,2021-06-22 16:46:39
2200,3791721.0,Pyrus calleryana Decne.,48.89239,2.34629,Paris,FR,2021-06-22 16:46:39
2219,3791740.0,Tilia platyphyllos Scop.,48.89001,2.24159,Puteaux,FR,2021-06-22 17:16:37
2220,3791741.0,Tilia platyphyllos Scop.,48.88993,2.2414,Puteaux,FR,2021-06-22 17:16:37
2221,3791742.0,Tilia platyphyllos Scop.,48.88983,2.24128,Puteaux,FR,2021-06-22 17:16:38
2232,3791753.0,Tilia cordata Mill.,48.99655,1.70348,Mantes-la-Jolie,FR,2021-06-22 17:23:04
2233,3791754.0,Tilia cordata Mill.,48.99641,1.7035,Mantes-la-Jolie,FR,2021-06-22 17:23:04
2234,3791755.0,Tilia cordata Mill.,48.99664,1.70319,Mantes-la-Jolie,FR,2021-06-22 17:23:05
2265,3791786.0,Quercus rubra L.,48.83847,2.41271,Paris,FR,2021-06-22 17:54:13
2266,3791787.0,Celtis australis L.,48.83886,2.41284,Paris,FR,2021-06-22 17:54:13
2267,3791788.0,Celtis australis L.,48.83901,2.41289,Paris,FR,2021-06-22 17:54:14
2289,3791818.0,Acer saccharinum L.,45.74929,3.08838,Beaumont,FR,2021-06-22 20:45:38
2290,3791819.0,Acer saccharinum L.,45.7493,3.08847,Beaumont,FR,2021-06-22 20:45:39
2291,3791820.0,Acer platanoides L.,45.7493,3.08858,Beaumont,FR,2021-06-22 20:45:39
2317,3795528.0,Acer saccharinum L.,45.74928,3.09016,Beaumont,FR,2021-07-16 15:30:03
2318,3795529.0,Acer saccharinum L.,45.74927,3.09028,Beaumont,FR,2021-07-16 15:30:04
2319,3795530.0,Acer saccharinum L.,45.74927,3.09037,Beaumont,FR,2021-07-16 15:30:04
2358,3795932.0,Salix babylonica L.,45.79027,3.07069,Clermont-Ferrand,FR,2021-07-21 15:15:36
2359,3795933.0,Salix babylonica L.,45.79024,3.07061,Clermont-Ferrand,FR,2021-07-21 15:15:37
2382,3796671.0,Quercus rubra L.,45.76976,3.13633,Clermont-Ferrand,FR,2021-07-27 12:48:12
2383,3796672.0,Quercus rubra L.,45.76979,3.13649,Clermont-Ferrand,FR,2021-07-27 12:48:15
2384,3796673.0,Quercus rubra L.,45.76981,3.13662,Clermont-Ferrand,FR,2021-07-27 12:48:15
2407,3798041.0,Prunus serrulata Lindl.,45.7536,3.13054,Aubière,FR,2021-08-03 12:47:33
2408,3798042.0,Prunus serrulata Lindl.,45.75358,3.13048,Aubière,FR,2021-08-03 12:47:34
2409,3798043.0,Prunus serrulata Lindl.,45.75356,3.13042,Aubière,FR,2021-08-03 12:47:34
2429,3799817.0,Acer saccharinum L.,45.76506,3.04212,Royat,FR,2021-08-17 14:24:30
2430,3799818.0,Acer saccharinum L.,45.76506,3.04195,Royat,FR,2021-08-17 14:24:33
2431,3799819.0,Acer saccharinum L.,45.76509,3.04187,Royat,FR,2021-08-17 14:24:33
2479,3800687.0,Tilia tomentosa Moench,48.89956,2.33829,Paris,FR,2021-08-27 16:40:37
2484,3802745.0,Acer pseudoplatanus L.,45.76009,3.06384,Ceyrat,FR,2021-09-21 19:04:35
2485,3802746.0,Acer pseudoplatanus L.,45.7601,3.06383,Ceyrat,FR,2021-09-21 19:09:25
2486,3802747.0,Acer pseudoplatanus L.,45.76015,3.06383,Ceyrat,FR,2021-09-21 19:09:25
2487,3802748.0,Acer pseudoplatanus L.,45.76023,3.06382,Ceyrat,FR,2021-09-21 19:09:25
2530,3803833.0,Aesculus L.,45.74029,3.06038,Ceyrat,FR,2021-09-27 17:02:40
2531,3803834.0,Aesculus L.,45.7402,3.06033,Ceyrat,FR,2021-09-27 17:02:41
2532,3803835.0,Aesculus L.,45.74011,3.0603,Ceyrat,FR,2021-09-27 17:02:41
2575,3804398.0,marronier,47.59646,1.32931,Blois,FR,2021-09-30 15:32:22
2576,3804399.0,Chêne,47.59667,1.32911,Blois,FR,2021-09-30 15:32:23
2589,3804414.0,Acer aetnense (Tineo ex Strobl) Lojac.,47.59643,1.32957,Blois,FR,2021-09-30 15:44:48
2594,3804460.0,Tilleuls,47.59829,1.33078,Blois,FR,2021-09-30 17:30:04
2599,3804587.0,maronnier,47.5963,1.3292,Blois,FR,2021-10-01 09:50:43
2600,3804588.0,érable,47.59723,1.32902,Blois,FR,2021-10-01 09:51:35
2601,3804589.0,Catalpa bignonioides Walter,47.59679,1.32931,Blois,FR,2021-10-01 09:52:47
2602,3804590.0,erable,47.59669,1.32911,Blois,FR,2021-10-01 09:53:24
2603,3804591.0,Aesculus hippocastanum L.,47.59654,1.32926,Blois,FR,2021-10-01 09:53:53
2635,3804656.0,tulipier,47.5976,1.32898,Blois,FR,2021-10-01 11:33:36
2636,3804657.0,tulipier,47.59776,1.32895,Blois,FR,2021-10-01 11:33:51
2637,3804660.0,tulipier,47.59794,1.32893,Blois,FR,2021-10-01 11:36:50
2638,3804661.0,tulipier,47.59768,1.32898,Blois,FR,2021-10-01 11:37:15
2639,3804662.0,tulipier ,47.59772,1.32895,Blois,FR,2021-10-01 11:37:50
2643,3804666.0,chene,47.59744,1.32901,Blois,FR,2021-10-01 11:38:08
2651,3804674.0,Tulipier,47.59779,1.32896,Blois,FR,2021-10-01 11:40:54
2652,3804675.0,Tulipier,47.59787,1.32892,Blois,FR,2021-10-01 11:40:54
2653,3804676.0,Peuplié,47.59786,1.32894,Blois,FR,2021-10-01 11:40:54
2664,3805743.0,Acer platanoides L.,45.74005,3.0607,Ceyrat,FR,2021-10-07 14:46:20
2665,3805744.0,Acer platanoides L.,45.74007,3.06072,Ceyrat,FR,2021-10-07 14:46:20
2666,3805745.0,Prunus L.,45.74009,3.06073,Ceyrat,FR,2021-10-07 14:46:21
2712,3806794.0,Tilia cordata Mill.,45.75296,3.11712,Aubière,FR,2021-10-14 18:09:50
2713,3806795.0,Tilia cordata Mill.,45.753,3.11713,Aubière,FR,2021-10-14 18:09:51
2736,3806818.0,Tilia cordata Mill.,45.753,3.11721,Aubière,FR,2021-10-14 18:28:05
2748,3807837.0,Robinia pseudoacacia L.,45.73411,3.10279,Romagnat,FR,2021-10-22 19:25:04
2749,3807838.0,Robinia pseudoacacia L.,45.7342,3.10266,Romagnat,FR,2021-10-22 19:25:04
2750,3807839.0,Robinia pseudoacacia L.,45.73424,3.10258,Romagnat,FR,2021-10-22 19:25:05
