Espèce,Identifiant,Numéro nomenclatural,Numéro nomenclatural nom retenu,Spontanéité,Latitude,Longitude,Identifiant Commune,Altitude,Indicateur de fiabilité,Détermination validée sur IdentiPlante,Score IdentiPlante,Présence d'un échantillon d'herbier,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:id_obs_arbre
Flavoparmelia caperata/soredians,324572759,56805780.0,56805780.0,87,4066.6770300000003,189.92166000000003,5120174.0,22403,240,0,12.0,0,0.0,0.0,0.0,306378530.0
Fraxinus L.,22564473,518706.0,518706.0,6,289.09483,18.69266,366123.0,1398,18,0,0.0,0,289.09487400000006,18.692655,12.0,0.0
Fraxinus L. [1753],7289438,172902.0,172902.0,2,92.47874,3.62679,63032.0,497,6,0,0.0,0,92.462818,3.6190370000000005,2.0,0.0
Fraxinus excelsior L.,11318460,225417.0,225417.0,3,143.23967,5.771240000000001,242944.0,464,9,0,0.0,0,143.24028329757957,5.771003346970387,6.0,0.0
Frène,3649107,0.0,0.0,1,48.931670000000004,2.1787099999999997,78311.0,46,3,0,0.0,0,48.931635,2.178699,3.0,0.0
Gleditsia triacanthos L.,7537731,60556.0,60556.0,2,94.6547,3.59215,162141.0,377,6,0,0.0,0,94.65437348995344,3.5924205999491097,4.0,0.0
Hippocastanum aesculus Cav.,18719118,160245.0,5265.0,5,244.16758,12.03437,451324.0,259,11,0,0.0,0,244.16678,12.058031,14.0,0.0
Hyperphyscia adglutinata,18225992,296065.0,296065.0,5,240.83883,11.53126,258173.0,405,10,0,3.0,0,0.0,0.0,0.0,14608457.0
Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],358856891,5625235.0,5625235.0,95,4528.817229999998,238.52305000000007,6864322.0,18050,277,0,3.0,0,0.0,0.0,0.0,358855158.0
Hypogymnia physodes (L.) Nyl.,14994860,0.0,0.0,4,183.3136,4.97107,348340.0,1244,8,0,0.0,0,0.0,0.0,0.0,14994772.0
Hypogymnia physodes/tubulosa,104320734,5418924.0,5418924.0,28,1325.2138699999998,87.77548999999998,1441440.0,8226,68,0,0.0,0,0.0,0.0,0.0,86106381.0
Hypogymnia tubulosa (Schaer.) Hav.,7492417,0.0,0.0,2,91.6523,2.46692,174170.0,640,4,0,0.0,0,0.0,0.0,0.0,7492396.0
Hypotrachyna afrorevoluta/revoluta,26099919,4570566.0,4570566.0,7,326.18961,5.038169999999999,412840.0,471,17,0,0.0,0,0.0,0.0,0.0,22490518.0
Hêtre,3735898,0.0,0.0,1,48.93586,2.34085,0.0,30,2,0,0.0,0,48.935859,2.3408450000000003,3.0,0.0
Japonica,3743802,0.0,0.0,1,48.83145,2.40436,94067.0,50,2,0,0.0,0,48.833647,2.413347,4.0,0.0
Japonica Sophora,3743914,119740.0,119740.0,1,48.83243,2.40462,75056.0,52,3,0,0.0,0,48.832192,2.404643,2.0,0.0
Jaune Candé,7487631,0.0,0.0,2,97.65831999999999,4.81885,188134.0,98,4,0,0.0,0,0.0,0.0,0.0,7487609.0
Juglans L. [1753],3652625,86623.0,86623.0,1,45.745709999999995,3.0789,63032.0,446,3,0,0.0,0,45.745664,3.078661,1.0,0.0
Juglans regia L.,22400196,217998.0,217998.0,6,274.53661,18.60167,378192.0,2442,18,0,0.0,0,274.535121,18.601209,12.0,0.0
Koelreuteria paniculata Laxm.,7583085,156176.0,156176.0,2,97.65645,4.7182200000000005,150112.0,112,6,0,0.0,0,97.65659897990689,4.7181951998982194,3.0,0.0
Lecanora albella (Pers.) Ach.,7515528,0.0,0.0,2,91.65244999999999,2.49676,174170.0,552,4,0,0.0,0,0.0,0.0,0.0,7515411.0
Lecanora barkmaniana Aptroot & Herk,11273330,0.0,0.0,3,137.47879999999998,3.74486,261255.0,830,6,0,0.0,0,0.0,0.0,0.0,11273118.0
Lecanora chlarotera,3609329,0.0,0.0,1,45.82568,1.2384,87085.0,293,3,0,0.0,0,0.0,0.0,0.0,0.0
Lecanora sp.,514021986,26565670.0,26565670.0,137,6521.415449999999,353.48559000000006,8995765.0,29445,394,0,6.0,0,0.0,0.0,0.0,506715965.0
Lecidella sp.,3788631,0.0,0.0,1,48.88145,2.50595,93077.0,98,2,0,0.0,0,0.0,0.0,0.0,3788604.0
Lepraria incana,7327185,0.0,0.0,2,91.65449000000001,2.4829,174170.0,588,4,0,0.0,0,0.0,0.0,0.0,7327144.0
Lepraria incana (L.) Ach.,7502402,0.0,0.0,2,91.66120000000001,2.50413,174170.0,604,4,0,0.0,0,0.0,0.0,0.0,7502375.0
Liquidambar styraciflua L.,7580983,79002.0,79002.0,2,97.63505,4.78927,188082.0,66,6,0,0.0,0,97.63518408106675,4.789084196090699,3.0,0.0
Liquidambar styraciflua L. [1753],3653811,39501.0,39501.0,1,45.7502,3.09295,0.0,425,2,0,0.0,0,0.0,0.0,2.0,0.0
Liriodendron tulipifera L.,11208711,118515.0,118515.0,3,137.45314,3.75861,261255.0,675,9,0,0.0,0,137.453078,3.758692,4.0,0.0
Magnolia liliiflora Desr.,3791673,75838.0,75838.0,1,48.62786,2.4292700000000003,91228.0,83,3,0,0.0,0,48.627189787252206,2.4292552472184075,2.0,0.0
Malus Mill. [1754],3631960,86762.0,86762.0,1,43.59973,1.42991,31555.0,141,3,0,0.0,0,43.599721,1.430025,1.0,0.0
Marronnier,3649105,0.0,0.0,1,48.93156,2.17855,78311.0,45,3,0,0.0,0,48.931635,2.178699,1.0,0.0
Melanelixia glabratula/subaurifera,116106796,20240954.0,20240954.0,31,1433.40791,104.95195,1709797.0,13207,86,0,0.0,0,0.0,0.0,0.0,105147789.0
Melanohalea exasperata,36502891,6594020.0,6594020.0,10,460.69245,28.146950000000004,494277.0,3897,22,0,0.0,0,0.0,0.0,0.0,25580883.0
Melanohalea exasperata ,68321364,11869236.0,11869236.0,18,828.6143099999999,49.37310999999999,1176028.0,8263,53,0,0.0,0,0.0,0.0,0.0,68320965.0
Melanohalea exasperata (DeNot.) O. Blanco,22391718,3956412.0,3956412.0,6,274.54511,18.62054,378156.0,2440,18,0,0.0,0,0.0,0.0,0.0,22391563.0
Melanohalea exasperatula (Nyl.) O. Blanco,3736255,0.0,0.0,1,45.81755,1.25242,87085.0,225,2,0,0.0,0,0.0,0.0,0.0,3736240.0
"Melanohalea exasperatula (Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D.Hawksw. & Lumbsch",7515518,0.0,0.0,2,91.65257,2.49653,174170.0,554,4,0,0.0,0,0.0,0.0,0.0,7515412.0
Micocoulier,10912443,0.0,0.0,3,131.34726,12.268049999999999,0.0,78,9,0,0.0,0,131.34725699999998,12.268041,6.0,0.0
Ne sais pas,11225103,0.0,0.0,3,146.41183,6.76459,276069.0,407,6,0,0.0,0,146.411832,6.763641,6.0,0.0
Nigra ,7486613,0.0,0.0,2,97.65967,4.8098399999999994,150112.0,112,4,0,0.0,0,97.659696,4.809908,3.0,0.0
Ochrolechia turneri,3637450,0.0,0.0,1,45.99893,1.47011,87079.0,418,2,0,0.0,0,0.0,0.0,0.0,3637449.0
Ochrolechia tyrneri,3637458,0.0,0.0,1,45.99893,1.47011,87079.0,418,3,0,0.0,0,0.0,0.0,0.0,3637449.0
Parmelia saxatilis,7261742,117776.0,117776.0,2,94.92881,8.3023,87085.0,547,4,0,0.0,0,0.0,0.0,0.0,7261707.0
Parmelia saxatilis (L.) Ach. [1803],11299820,176664.0,176664.0,3,142.28692,11.421599999999998,83480.0,615,6,0,-6.0,0,0.0,0.0,0.0,11299802.0
Parmelia subrudecta,3609338,0.0,0.0,1,45.82558,1.23844,87085.0,293,3,0,0.0,0,0.0,0.0,0.0,0.0
Parmelia sulcata,127884246,2061115.0,2061115.0,35,1624.3903000000003,98.62113,1588062.0,11737,85,0,14.0,0,0.0,0.0,0.0,98776901.0
Parmelia sulcata ,189378154,2944450.0,2944450.0,50,2335.4750499999996,122.78614,3471448.0,15431,148,0,0.0,0,0.0,0.0,0.0,189377006.0
Parmelia sulcata Taylor s.l.,89723769,1413336.0,1413336.0,24,1155.5831500000002,56.86009000000001,1112204.0,2850,66,0,3.0,0,0.0,0.0,0.0,89723435.0
Parmelina tiliacea/pastillifera,78327933,13711572.0,13711572.0,21,988.2668399999999,50.48039000000001,1079334.0,4963,55,0,0.0,0,0.0,0.0,0.0,71064792.0
Parmotrema perlatum (Huds.) M.Choisy,30099443,0.0,0.0,8,366.63,10.011280000000001,696680.0,2274,16,0,0.0,0,0.0,0.0,0.0,30099097.0
Parmotrema perlatum/reticulatum,52250402,9141034.0,9141034.0,14,671.2251399999999,16.98318,710933.0,1506,42,0,0.0,0,0.0,0.0,0.0,52250200.0
Paulownia Siebold & Zucc. [1836],3646315,86946.0,86946.0,1,48.84592,2.3548299999999998,75056.0,49,3,0,0.0,0,48.845917,2.354833,1.0,0.0
Paulownia tomentosa (Thunb.) Steud. [1841],10938951,144345.0,144345.0,3,146.53831,7.064539999999999,0.0,146,6,0,0.0,0,146.53805699999998,7.065602999999999,6.0,0.0
Pertusaria albescens (Huds.) M. Choisy & Werner,7497426,0.0,0.0,2,91.65682,2.4855,174170.0,622,4,0,0.0,0,0.0,0.0,0.0,7497376.0
Pertusaria amara,3663587,0.0,0.0,1,45.82728,1.24145,87085.0,294,2,0,0.0,0,0.0,0.0,0.0,3663572.0
Pertusaria amara (Ach.) Nyl.,3746191,58214.0,58214.0,1,45.82611,1.23338,87085.0,320,3,0,0.0,0,0.0,0.0,0.0,3746187.0
Pertusaria hymenea (Ach.) Schaer.,3757802,0.0,0.0,1,45.82635,1.2481,87085.0,278,2,0,0.0,0,0.0,0.0,0.0,3757707.0
Pertusaria pertusa,10938215,1977603.0,1977603.0,3,137.82053000000002,4.18281,174164.0,1108,7,0,0.0,0,0.0,0.0,0.0,10938189.0
Pertusaria pertusa ,26592135,4614407.0,4614407.0,7,336.61111000000005,12.015849999999999,427160.0,700,19,0,0.0,0,0.0,0.0,0.0,26591965.0
Pertusaria pertusa (Weigel) Tuck.,33640494,5932809.0,5932809.0,9,432.58762999999993,13.70758,491490.0,726,24,0,-3.0,0,0.0,0.0,0.0,33640348.0
Peuplier tremble,3735897,0.0,0.0,1,48.93586,2.34085,0.0,30,2,0,0.0,0,48.935859,2.3408450000000003,2.0,0.0
Peuplié,3804676,0.0,0.0,1,47.59786,1.32894,41018.0,108,2,0,0.0,0,47.596741200000004,1.3289098,3.0,0.0
Phaeophyscia orbicularis,135422678,2218557.0,2218557.0,37,1705.6777,105.55624000000002,1755949.0,13858,85,0,0.0,0,0.0,0.0,0.0,109849156.0
Phaeophyscia orbicularis (Neck.) Moberg [1977],460627258,7315242.0,7315242.0,122,5778.155430000002,306.14245,8828395.0,27117,358,0,15.0,0,0.0,0.0,0.0,460625004.0
Phlyctis argena,3663601,0.0,0.0,1,45.82741,1.2413299999999998,87085.0,294,2,0,0.0,0,0.0,0.0,0.0,3663573.0
Physcia adscendens/tenella,934665628,49058000.0,49058000.0,250,11898.205039999993,660.1417499999992,15366245.0,52219,697,0,17.0,0,0.0,0.0,0.0,869113774.0
Physcia aipolia/stellaris,208676340,10988992.0,10988992.0,56,2572.2949399999998,168.05887,2895583.0,23646,153,0,6.0,0,0.0,0.0,0.0,183175075.0
