Espèce,Identifiant,Numéro nomenclatural,Numéro nomenclatural nom retenu,Spontanéité,Latitude,Longitude,Identifiant Commune,Altitude,Indicateur de fiabilité,Détermination validée sur IdentiPlante,Score IdentiPlante,Présence d'un échantillon d'herbier,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:id_obs_arbre
Quercus rubra L.,18973476,272820.0,272820.0,5,234.77482,14.251560000000001,355623.0,1166,15,0,0.0,0,234.77518756936206,14.251690507023795,10.0,0.0
Quercus rubra L. [1753],7308346,109128.0,109128.0,2,91.64526000000001,2.4852,87085.0,551,6,0,0.0,0,91.64566400000001,2.4835570000000002,2.0,0.0
Ramalina canariensis J. Steiner [1904],3751922,59121.0,59121.0,1,45.60279,4.7076400000000005,69179.0,289,2,0,3.0,0,0.0,0.0,0.0,3751921.0
Ramalina farinacea,11031679,177276.0,177276.0,3,143.42505,6.264,275221.0,377,8,0,0.0,0,0.0,0.0,0.0,7422316.0
Ramalina farinacea (L.) Ach. [1810],41508197,650012.0,650012.0,11,522.1379400000001,12.52441,693744.0,645,31,0,0.0,0,0.0,0.0,0.0,41508044.0
Ramalina fastigiata,3609336,658984.0,658984.0,1,45.82568,1.2384,87085.0,293,2,0,0.0,0,0.0,0.0,0.0,0.0
Ramalina fastigiata (Pers.) Ach. [1810],33788943,5930856.0,5930856.0,9,431.51498,5.63511,479934.0,981,26,0,7.0,0,0.0,0.0,0.0,33788755.0
Ramalina fraxinea (L.) Ach. [1810],30418124,473200.0,473200.0,8,369.23154000000005,23.878439999999998,536767.0,3997,24,0,0.0,0,0.0,0.0,0.0,30417931.0
Robinia pseudoacacia L.,33831870,506205.0,506205.0,9,414.78193,27.153129999999997,580137.0,3471,27,0,4.0,0,414.78127888500444,27.153894191078187,20.0,0.0
Robinia pseudoacacia L. [1753],14614831,224980.0,224980.0,4,182.98522999999997,12.33989,0.0,1714,12,0,0.0,0,0.0,0.0,7.0,0.0
Robinia x ambigua Poir. [1816],3743699,82540.0,82540.0,1,48.83252,2.4042,0.0,50,3,0,0.0,0,48.832516,2.4041959999999998,1.0,0.0
Salix babylonica L.,11335578,177996.0,177996.0,3,140.41114000000002,8.550930000000001,201282.0,974,9,0,0.0,0,140.4109757146916,8.550896675842285,4.0,0.0
Sophora japonica L.,14934754,260968.0,260968.0,4,186.07743000000002,11.67477,264152.0,1292,11,0,5.0,0,186.07755600000002,11.677413,7.0,0.0
Sorbus aria subsp. aria,11374449,195792.0,195792.0,3,146.77427,7.06983,279198.0,109,9,0,0.0,0,146.7758584994623,7.069605590509127,6.0,0.0
Sorbus aucuparia L.,11371410,195831.0,195831.0,3,146.514,7.18459,225168.0,139,9,0,0.0,0,146.5140763518621,7.184763551085782,6.0,0.0
Sycomore,7495213,0.0,0.0,2,94.69013000000001,10.092289999999998,42462.0,506,4,0,0.0,0,94.68983,10.092456,3.0,0.0
Tilia,3740628,0.0,0.0,1,48.7888,2.45496,94028.0,35,2,0,0.0,0,48.788592,2.455162,1.0,0.0
Tilia ,3740627,68291.0,68332.0,1,48.78872,2.45502,94028.0,33,3,0,0.0,0,48.788659,2.455077,1.0,0.0
Tilia L.,15000094,349268.0,349268.0,4,197.66943,10.630980000000001,265123.0,385,12,0,0.0,0,197.669467,10.630973000000001,7.0,0.0
Tilia argentea Desf. ex DC. [1813],3646789,68294.0,68349.0,1,45.99895,1.47013,0.0,418,3,0,0.0,0,45.99866,1.4686299999999999,1.0,0.0
Tilia cordata Mill.,78926603,1434279.0,1434279.0,21,997.4804100000001,60.154810000000005,1288004.0,3435,57,0,0.0,0,997.4805299354878,60.15550757221414,36.0,0.0
Tilia cordata Mill. [1768],7234780,136598.0,136598.0,2,97.74949000000001,4.415229999999999,184100.0,254,6,0,0.0,0,97.74972500000001,4.415479,2.0,0.0
Tilia platyphyllos Scop.,37749782,683320.0,683320.0,10,489.18120000000005,37.49614,652470.0,1162,30,0,0.0,0,489.1842689570721,37.49349195510728,21.0,0.0
Tilia platyphyllos Scop. [1771],10973169,204996.0,204996.0,3,147.3684,21.252180000000003,172893.0,666,6,0,0.0,0,147.36690000000002,21.249540000000003,6.0,0.0
Tilia sp.,11365809,0.0,0.0,3,146.64441,7.51801,279231.0,294,6,0,0.0,0,146.644737,7.51848,6.0,0.0
Tilia tomentosa 'Petiolaris',11273118,205050.0,204993.0,3,137.47879999999998,3.74486,261255.0,830,6,0,0.0,0,137.478672,3.745416,6.0,0.0
Tilia tomentosa Moench,7591364,136698.0,136698.0,2,97.53997,4.60614,166481.0,131,4,0,0.0,0,97.53998323516292,4.606457948684692,4.0,0.0
Tilia tomentosa Moench [1785],3637460,68349.0,68349.0,1,45.99899,1.46997,87079.0,421,2,0,0.0,0,45.998936,1.469975,1.0,0.0
Tilleul,37268930,0.0,0.0,10,482.84356,14.50183,251579.0,725,21,0,0.0,0,482.848166,14.497107000000003,15.0,0.0
Tilleul ,3637461,0.0,0.0,1,45.99897,1.46997,0.0,421,3,0,0.0,0,45.99866,1.4686299999999999,1.0,0.0
