Id_site,Id_arbre,Latitude_site,Longitude_site,Num_arbre,Rue,Commune,Pays,Fréquence,Completude
49.122317.083393,3736604,49.12231,7.083393,1.0,Rue de Graefinthal,Sarreguemines,FR,3,True
50.6090373.133985,3736642,50.609037,3.133985,1.0,Allée de l'Université,Villeneuve-d'Ascq,FR,3,True
50.6154583.132155,3736682,50.615458,3.132155,1.0,Boulevard de Valmy,Villeneuve-d'Ascq,FR,3,True
50.612543.122186,3737128,50.61254,3.122186,1.0,Rue Chanzy,Lezennes,FR,3,True
50.6074883.13808,3738790,50.607488,3.13808,1.0,Avenue Halley,Villeneuve-d'Ascq,FR,3,True
50.6075563.138358,3738807,50.607556,3.138358,1.0,Avenue Halley,Villeneuve-d'Ascq,FR,3,True
48.7886592.455077,3740627,48.788659,2.455077,1.0,Rue Maurice Demenitroux,Créteil,FR,1,False
48.7885922.455162,3740628,48.788592,2.455162,1.0,Rue Maurice Demenitroux,Créteil,FR,1,False
48.7901222.453627,3740665,48.790122,2.453627,1.0,Rue Maurice Demenitroux,Créteil,FR,7,True
48.7885262.455313,3740672,48.788526,2.455313,1.0,Rue Maurice Demenitroux,Créteil,FR,3,True
48.7888292.454922,3740725,48.788829,2.454922,1.0,Rue Maurice Demenitroux,Créteil,FR,1,False
48.9752751.975878,3740823,48.975275,1.975878,1.0,Rue de la Côte Narbonne,Verneuil-sur-Seine,FR,6,True
48.7886262.455224,3740839,48.788626,2.455224,1.0,Rue Maurice Demenitroux,Créteil,FR,1,False
48.7899422.453675,3740854,48.789942,2.453675,1.0,Rue Maurice Demenitroux,Créteil,FR,1,False
48.7886452.455072,3740858,48.788645,2.455072,1.0,Rue Maurice Demenitroux,Créteil,FR,2,False
48.7885462.455147,3740863,48.788546,2.455147,1.0,Rue Maurice Demenitroux,Créteil,FR,2,False
48.132153-1.644626,3741057,48.132153,-1.644626,1.0,Rue du Professeur Maurice Audin,Rennes,FR,1,False
48.8464972.335844,3741549,48.846497,2.335844,1.0,Allée du Séminaire,Paris,FR,1,False
48.8468582.336462,3741551,48.846858,2.336462,1.0,Allée du Séminaire,Paris,FR,3,True
48.8039442.254547,3741700,48.803944,2.254547,1.0,Rue Brignole Galliera,Clamart,FR,3,True
48.8759082.082219,3741996,48.875908,2.082219,1.0,Rue de la Sabotte,Marly-le-Roi,FR,3,True
45.668184.818063,3743016,45.66818,4.818063,1.0,Avenue Charles de Gaulle,Irigny,FR,3,True
49.0415672.072071,3743117,49.041567,2.072071,1.0,Boulevard de l'Oise,Cergy,FR,3,True
