,Identifiant,Espèce,Date Création,Latitude,Longitude,ext:loc-sur-tronc
3,3601644,Xanthoria parietina,2019-07-01 11:14:00,42.55616,2.97596,n2;n3;n4;
4,3601645,Physcia adscendens/tenella,2019-07-01 11:14:01,42.55616,2.97596,n1;n2;n3;n4;n5;
5,3601646,lichen crustacé à aspect poudreux,2019-07-01 11:14:01,42.55616,2.97596,n1;s1;n2;n3;n4;s4;n5;s5;
6,3601648,lichen crustacé à aspect poudreux,2019-07-01 11:15:15,42.55609,2.97587,n1;s1;n2;s2;o2;n3;s3;o3;n4;s4;s5;o5;
7,3601650,lichen crustacé à aspect poudreux,2019-07-01 11:16:26,42.556,2.9758,s1;s2;s3;s4;
11,3609324,Parmelina tiliacea/pastillifera,2019-07-30 18:32:29,45.82558,1.23844,n1;e1;n2;e2;n3;n4;n5;
12,3609326,Physcia adscendens/tenella,2019-07-30 18:32:31,45.82558,1.23844,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
13,3609327,Parmelia sulcata,2019-07-30 18:32:32,45.82558,1.23844,n1;s1;e1;s2;e2;n3;s3;e3;n4;s4;n5;s5;e5;
14,3609328,Amandinea punctata/Lecidella elaeochroma,2019-07-30 18:32:33,45.82568,1.2384,s2;s3;s4;s5;
15,3609329,Lecanora chlarotera,2019-07-30 18:32:33,45.82568,1.2384,e4;
16,3609330,Candelaria xanthostigma,2019-07-30 18:32:34,45.82575,1.23837,s1;e1;s2;e2;e3;o3;n4;e4;o4;s5;e5;o5;
17,3609331,Xanthoria parietina,2019-07-30 18:32:35,45.82558,1.23844,s1;o1;o2;o3;e4;o4;n5;
18,3609332,Hypotrachyna afrorevoluta/revoluta,2019-07-30 18:32:36,45.82558,1.23844,n1;o1;s2;o4;s5;o5;
19,3609333,Hypogymnia physodes/tubulosa,2019-07-30 18:32:37,45.82558,1.23844,e1;e2;e4;
20,3609334,Parmelia saxatilis,2019-07-30 18:47:36,45.82575,1.23837,s2;e4;
21,3609335,Ramalina farinacea,2019-07-30 18:47:37,45.82568,1.2384,s1;s2;
22,3609336,Ramalina fastigiata,2019-07-30 18:47:37,45.82568,1.2384,n1;
23,3609337,Evernia prunastri,2019-07-30 18:47:38,45.82575,1.23837,s3;
24,3609338,Parmelia subrudecta,2019-07-30 18:47:39,45.82558,1.23844,n1;e1;o1;o2;o3;o5;
26,3617387,Amandinea punctata/Lecidella elaeochroma,2019-09-02 09:46:08,48.87475,2.20761,n1;e1;e2;n3;e3;n4;n5;
27,3617388,Physcia adscendens/tenella,2019-09-02 09:46:09,48.87475,2.20761,e1;o1;e2;o2;n3;s3;e3;o3;s4;e4;o4;s5;e5;o5;
28,3617389,Xanthoria parietina,2019-09-02 09:46:10,48.87475,2.20761,o1;n2;e2;o2;n3;o3;o4;o5;
29,3617390,Amandinea punctata/Lecidella elaeochroma,2019-09-02 09:46:10,48.87475,2.20761,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;
30,3617391,Amandinea punctata/Lecidella elaeochroma,2019-09-02 09:46:11,48.87475,2.20761,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;
31,3617393,Xanthoria parietina,2019-09-02 09:46:13,48.87475,2.20761,e1;o1;s2;e2;o2;s3;e3;o3;s4;e4;o4;s5;e5;o5;
32,3617394,Diploicia canescens,2019-09-02 09:46:14,48.87475,2.20761,n1;s1;e1;o1;n2;e2;n3;s3;e3;n4;s4;e4;n5;e5;
36,3617400,Amandinea punctata/Lecidella elaeochroma,2019-09-02 10:01:19,48.87474,2.20762,n1;e1;e2;n3;e3;n4;n5;
37,3617401,Physcia adscendens/tenella,2019-09-02 10:01:20,48.87474,2.20762,e1;o1;e2;o2;n3;s3;e3;o3;s4;e4;o4;s5;e5;o5;
38,3617402,Xanthoria parietina,2019-09-02 10:01:21,48.87474,2.20762,o1;n2;e2;o2;n3;o3;o4;o5;
39,3617403,Amandinea punctata/Lecidella elaeochroma,2019-09-02 10:01:21,48.87474,2.20762,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;
40,3617404,Physcia adscendens/tenella,2019-09-02 10:01:22,48.87474,2.20762,s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;s5;e5;o5;
41,3617405,Xanthoria parietina,2019-09-02 10:01:23,48.87474,2.20762,e1;o1;s2;e2;o2;s3;e3;o3;s4;e4;o4;s5;e5;o5;
42,3617406,Diploicia canescens,2019-09-02 10:01:23,48.87474,2.20762,n1;s1;e1;o1;n2;e2;n3;s3;e3;n4;s4;n5;e5;
43,3617407,Xanthoria parietina,2019-09-02 10:01:24,48.87484,2.20773,n1;s1;e1;o1;n2;e2;o2;n3;e3;o3;n4;e4;o4;n5;e5;o5;
44,3617408,Physcia adscendens/tenella,2019-09-02 10:01:25,48.87484,2.20773,n1;s1;e1;n2;s2;e2;n3;s3;e3;n4;s4;e4;n5;s5;e5;
45,3617409,Physcia aipolia/stellaris,2019-09-02 10:01:25,48.87484,2.20773,o1;o2;o3;o4;o5;
46,3617413,Xanthoria parietina,2019-09-02 10:13:26,48.87484,2.20773,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
47,3617414,Physcia adscendens/tenella,2019-09-02 10:13:27,48.87484,2.20773,n1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
48,3617415,Physcia aipolia/stellaris,2019-09-02 10:13:28,48.87484,2.20773,n1;o1;o2;o3;o4;o5;
49,3617416,Diploicia canescens,2019-09-02 10:13:29,48.87484,2.20773,n1;o1;o2;e3;o3;n4;e4;o4;o5;
50,3617417,autre lichen crustacé,2019-09-02 10:13:30,48.87484,2.20773,o4;e5;
51,3617418,Xanthoria parietina,2019-09-02 10:13:30,48.87469,2.20788,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
52,3617419,Physcia adscendens/tenella,2019-09-02 10:13:31,48.87469,2.20788,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
53,3617420,Amandinea punctata/Lecidella elaeochroma,2019-09-02 10:13:32,48.87469,2.20788,s1;s2;
54,3617421,autre lichen crustacé,2019-09-02 10:13:33,48.87469,2.20788,s2;o2;
55,3617422,Pleurosticta acetabulum,2019-09-02 10:13:34,48.87469,2.20788,e1;e2;e3;e4;e5;
56,3617423,Flavoparmelia caperata/soredians,2019-09-02 10:19:01,48.87469,2.20788,o4;o5;
57,3617424,Parmelia sulcata,2019-09-02 10:19:02,48.87469,2.20788,o3;o4;o5;
58,3617425,Xanthoria parietina,2019-09-02 10:19:03,48.87469,2.20788,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
59,3617426,Physcia adscendens/tenella,2019-09-02 10:19:04,48.87469,2.20788,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
60,3617427,Diploicia canescens,2019-09-02 10:19:05,48.87469,2.20788,n1;e1;o1;n2;e2;o2;n3;e3;o3;n4;e4;o4;n5;e5;
61,3617428,Amandinea punctata/Lecidella elaeochroma,2019-09-02 10:19:07,48.87469,2.20788,n1;e1;n2;o2;n4;
62,3617429,Hyperphyscia adglutinata,2019-09-02 10:19:08,48.87469,2.20788,n1;o1;o2;
63,3617430,Flavoparmelia caperata/soredians,2019-09-02 10:19:08,48.87469,2.20788,s1;e1;o1;s2;e2;o2;o3;o4;s5;
64,3617431,Melanohalea exasperata,2019-09-02 10:19:09,48.87469,2.20788,s3;s4;s5;
65,3617432,Parmelia sulcata,2019-09-02 10:19:10,48.87469,2.20788,e3;
66,3617433,Physcia leptalea,2019-09-02 10:19:45,48.87469,2.20788,o2;
71,3631961,Physcia adscendens/tenella,2019-10-22 15:01:37,43.59973,1.42991,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
72,3631962,Xanthoria parietina,2019-10-22 15:01:38,43.59973,1.42991,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
73,3631963,Phaeophyscia orbicularis,2019-10-22 15:01:39,43.59973,1.42991,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
74,3631964,Hyperphyscia adglutinata,2019-10-22 15:01:41,43.59973,1.42991,e1;e2;o2;e3;o3;e4;o4;e5;o5;
75,3631965,Candelaria concolor,2019-10-22 15:01:42,43.59973,1.42991,o1;o2;o3;o4;e5;o5;
77,3637450,Ochrolechia turneri,2019-11-05 11:26:04,45.99893,1.47011,n1;n2;n3;n4;n5;
78,3637451,Flavoparmelia caperata/soredians,2019-11-05 11:26:05,45.99893,1.47011,n5;
79,3637452,Amandinea punctata/Lecidella elaeochroma,2019-11-05 11:26:05,45.99893,1.47011,n1;n2;n3;n4;n5;
80,3637453,Lecanora sp.,2019-11-05 11:26:06,45.99893,1.47011,n1;n2;n3;n4;n5;
81,3637454,lichen crustacé à aspect poudreux,2019-11-05 11:26:07,45.99893,1.47011,s2;s3;s4;
82,3637455,Chrolechia turneri,2019-11-05 11:26:10,45.99893,1.47011,e1;e4;
83,3637456,Amandinea punctata/Lecidella elaeochroma,2019-11-05 11:26:12,45.99893,1.47011,e2;
84,3637457,lichens crustace à lirelles,2019-11-05 11:26:12,45.99893,1.47011,e3;
85,3637458,Ochrolechia tyrneri,2019-11-05 11:26:13,45.99893,1.47011,o1;o3;o4;o5;
86,3637459,Pertusaria pertusa,2019-11-05 11:26:14,45.99893,1.47011,o5;
93,3637555,Amandinea punctata/Lecidella elaeochroma,2019-11-07 11:11:44,46.73304,0.54787,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
94,3637556,Lecanora sp.,2019-11-07 11:11:45,46.73304,0.54787,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;e5;o5;
95,3637557,Lecanora sp.,2019-11-07 11:11:46,46.73304,0.54787,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
96,3637558,Xanthoria parietina,2019-11-07 11:11:47,46.73304,0.54787,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;s5;e5;o5;
97,3637559,Physcia adscendens/tenella,2019-11-07 11:11:48,46.73304,0.54787,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;s5;e5;o5;
98,3637560,Punctelia sp.,2019-11-07 11:11:49,46.73304,0.54787,n1;o1;o4;
99,3637561,autre lichen crustacé,2019-11-07 11:11:50,46.73304,0.54787,e5;o5;
100,3637562,autre lichen crustacé,2019-11-07 11:11:51,46.73304,0.54787,o5;
102,3645719,Candelaria concolor,2019-11-20 19:48:25,45.74598,3.08188,n1;s1;e1;o1;s2;e2;o2;s3;e3;o3;n4;s4;e4;o4;s5;e5;o5;
103,3645720,Flavoparmelia caperata/soredians,2019-11-20 19:49:10,45.74598,3.08188,e5;
104,3645721,autres Melanohalea,2019-11-20 19:50:58,45.74598,3.08188,e1;e2;e4;e5;
105,3645722,Hypogymnia physodes/tubulosa,2019-11-20 19:51:51,45.74598,3.08188,e2;
106,3645723,Physcia aipolia/stellaris,2019-11-20 19:52:55,45.74598,3.08188,e2;
107,3645724,Physconia grisea,2019-11-20 19:53:43,45.74598,3.08188,n1;s1;n2;s2;n4;n5;
108,3645725,Parmelia sulcata,2019-11-20 19:54:31,45.74598,3.08188,n1;o1;n2;o2;n3;n4;o4;n5;
109,3645726,Evernia prunastri,2019-11-20 19:55:17,45.74598,3.08188,n1;n4;o5;
110,3645727,Physcia adscendens/tenella,2019-11-20 19:58:54,45.74598,3.08188,o4;
115,3646319,Hyperphyscia adglutinata,2019-11-26 15:32:29,48.84585,2.35467,n1;s1;e1;o1;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;
116,3646320,autre lichen crustacé,2019-11-26 15:32:30,48.84585,2.35467,n1;
117,3646321,Physcia adscendens/tenella,2019-11-26 15:32:31,48.84585,2.35467,e1;s2;
118,3646382,Xanthoria parietina,2019-11-26 15:33:48,48.84592,2.35483,n1;n3;n4;n5;
119,3646383,Physcia adscendens/tenella,2019-11-26 15:33:51,48.84592,2.35483,n1;n2;n3;n4;s4;n5;s5;
120,3646384,Punctelia sp.,2019-11-26 15:33:52,48.84592,2.35483,n3;
121,3646385,Hyperphyscia adglutinata,2019-11-26 15:33:54,48.84592,2.35483,n1;s1;e1;n2;s2;e2;n3;s3;e3;n4;s4;e4;n5;
122,3646386,Physcia adscendens/tenella,2019-11-26 15:34:15,48.84628,2.35485,n1;s1;e1;o1;n2;s2;o2;n3;s3;o3;n4;s4;o4;n5;s5;e5;o5;
123,3646387,Xanthoria parietina,2019-11-26 15:34:15,48.84628,2.35485,s4;s5;
124,3646388,Physcia adscendens/tenella,2019-11-26 15:35:06,48.84618,2.35502,s1;s2;n3;s3;s4;s5;
126,3646790,autre lichen crustacé,2019-11-28 13:54:04,45.99895,1.47013,n1;e1;o1;n2;n3;o3;n4;e4;o4;n5;o5;
127,3646791,Flavoparmelia caperata/soredians,2019-11-28 13:54:05,45.99895,1.47013,n5;
128,3646792,Amandinea punctata/Lecidella elaeochroma,2019-11-28 13:54:06,45.99895,1.47013,n1;n2;s2;e2;n3;n4;n5;
129,3646793,Lecanora sp.,2019-11-28 13:54:07,45.99895,1.47013,n1;n2;n3;n4;n5;
130,3646794,lichen crustacé à aspect poudreux,2019-11-28 13:54:08,45.99895,1.47013,s2;s3;s4;
131,3646796,Pertusaria pertusa,2019-11-28 13:54:09,45.99895,1.47013,o5;
132,3646797,lichens crustace à lirelles,2019-11-28 13:54:10,45.99895,1.47013,e3;
137,3647991,Physcia adscendens/tenella,2019-12-04 14:53:01,45.74625,3.0819,n1;s1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
138,3647992,Physcia aipolia/stellaris,2019-12-04 14:53:02,45.74625,3.0819,n1;s1;o1;n2;s2;e2;n3;e3;o3;s4;e4;s5;e5;
139,3647993,Parmelia sulcata,2019-12-04 14:53:03,45.74625,3.0819,n1;s1;s2;o2;n3;s3;n4;
140,3647994,Candelaria concolor,2019-12-04 14:53:04,45.74625,3.0819,n1;e1;n3;n5;
141,3647995,Lecanora sp.,2019-12-04 14:53:05,45.74625,3.0819,n1;n2;o2;e4;
142,3647996,Hypogymnia physodes/tubulosa,2019-12-04 14:53:06,45.74625,3.0819,n2;n4;
143,3647997,Pleurosticta acetabulum,2019-12-04 14:53:06,45.74625,3.0819,n1;s1;o1;n2;s2;s3;
144,3647998,Evernia prunastri,2019-12-04 14:53:07,45.74625,3.0819,n2;n4;s4;
145,3647999,Xanthoria parietina,2019-12-04 14:53:08,45.74625,3.0819,e1;e3;e4;n5;s5;e5;o5;
146,3648000,autre lichen foliacé,2019-12-04 14:53:09,45.74625,3.0819,e2;
147,3648032,Amandinea punctata/Lecidella elaeochroma,2019-12-04 14:59:49,45.74625,3.0819,s1;e4;
148,3648033,lichen crustacé à aspect poudreux,2019-12-04 14:59:49,45.74625,3.0819,o2;e4;e5;
149,3648035,Physconia distorta,2019-12-04 14:59:51,45.74625,3.0819,s1;o1;o5;
150,3648036,Flavoparmelia caperata/soredians,2019-12-04 14:59:52,45.74625,3.0819,o4;
151,3648037,Phaeophyscia orbicularis,2019-12-04 14:59:53,45.74625,3.0819,e1;o1;e2;s3;o3;e4;e5;o5;
155,3649108,Hypogymnia physodes/tubulosa,2019-12-09 19:10:49,48.93156,2.17855,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;e4;o4;n5;e5;o5;
156,3649109,autre lichen crustacé,2019-12-09 19:10:49,48.93156,2.17855,o1;o2;o3;o4;o5;
157,3649110,Candelaria concolor,2019-12-09 19:10:51,48.93156,2.17855,n1;
158,3649111,Hypogymnia physodes/tubulosa,2019-12-09 19:10:52,48.93163,2.17864,n1;e1;n2;o2;n3;s3;e3;o4;n5;o5;
159,3649112,autre lichen crustacé,2019-12-09 19:10:53,48.93163,2.17864,n1;o1;n2;o2;n3;o3;n4;o4;n5;
160,3649113,Xanthoria parietina,2019-12-09 19:10:54,48.93163,2.17864,e1;o1;e2;o2;o3;o4;e5;o5;
161,3649114,Physcia adscendens/tenella,2019-12-09 19:10:55,48.93163,2.17864,e5;
162,3649115,autre lichen crustacé,2019-12-09 19:10:56,48.93167,2.17871,n1;e1;o1;n2;o2;n3;s3;e3;o3;n4;s4;o4;n5;s5;o5;
164,3649541,Physconia distorta,2019-12-12 17:53:38,45.74487,3.08159,n1;o1;s4;s5;
165,3649542,Candelaria concolor,2019-12-12 17:53:39,45.74487,3.08159,n1;s1;e1;o1;n2;s2;e2;o2;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;
166,3649543,Pleurosticta acetabulum,2019-12-12 17:53:39,45.74487,3.08159,n1;o1;
167,3649544,Parmelia sulcata,2019-12-12 17:53:40,45.74487,3.08159,n2;n3;o3;n4;n5;o5;
168,3649545,Physconia grisea,2019-12-12 17:53:41,45.74487,3.08159,s1;e1;o1;n2;e2;n3;s3;n4;s4;
169,3649546,Evernia prunastri,2019-12-12 17:53:42,45.74487,3.08159,s1;o2;s3;n5;
170,3649547,Flavoparmelia caperata/soredians,2019-12-12 17:53:43,45.74487,3.08159,e1;o5;
171,3649548,autre lichen foliacé,2019-12-12 17:53:43,45.74487,3.08159,e1;o1;e2;o3;o4;
172,3649549,Physcia adscendens/tenella,2019-12-12 17:53:44,45.74487,3.08159,o1;o2;s4;
173,3649550,Melanelixia glabratula/subaurifera,2019-12-12 17:53:45,45.74487,3.08159,s3;
174,3649552,Amandinea punctata/Lecidella elaeochroma,2019-12-12 17:55:48,45.74487,3.08159,s4;
175,3649553,Xanthoria parietina,2019-12-12 17:55:49,45.74487,3.08159,e1;
177,3649557,Physconia distorta,2019-12-12 18:06:09,45.74326,3.08132,n2;n5;
178,3649558,Candelaria concolor,2019-12-12 18:06:10,45.74326,3.08132,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;n5;s5;e5;o5;
179,3649559,Pleurosticta acetabulum,2019-12-12 18:06:11,45.74326,3.08132,o4;
180,3649560,Parmelia sulcata,2019-12-12 18:06:13,45.74326,3.08132,s1;e1;s2;n3;s3;n4;s4;o4;n5;s5;e5;
181,3649561,Physconia grisea,2019-12-12 18:06:14,45.74326,3.08132,e2;
182,3649562,Punctelia sp.,2019-12-12 18:06:15,45.74326,3.08132,e2;
183,3649563,Evernia prunastri,2019-12-12 18:06:16,45.74326,3.08132,e1;n3;o3;n4;s4;e4;o5;
184,3649564,Flavoparmelia caperata/soredians,2019-12-12 18:06:17,45.74326,3.08132,o3;n4;e4;o4;n5;
185,3649565,autre lichen foliacé,2019-12-12 18:06:18,45.74326,3.08132,s2;e2;s3;e3;
186,3649566,Physcia adscendens/tenella,2019-12-12 18:06:19,45.74326,3.08132,n1;e1;s2;s3;e3;s4;e4;s5;
187,3649567,Amandinea punctata/Lecidella elaeochroma,2019-12-12 18:08:38,45.74326,3.08132,o2;
188,3649568,Xanthoria parietina,2019-12-12 18:08:38,45.74326,3.08132,s1;
189,3649569,lichen crustacé à aspect poudreux,2019-12-12 18:08:39,45.74326,3.08132,n1;
190,3649570,Melanohalea exasperata,2019-12-12 18:08:40,45.74326,3.08132,e5;
192,3650002,Punctelia sp.,2019-12-23 10:57:51,45.74332,3.08132,n1;s1;n2;o2;o3;o4;
193,3650003,Pleurosticta acetabulum,2019-12-23 10:57:55,45.74332,3.08132,n1;e1;n2;n3;e3;
194,3650004,Parmelia sulcata,2019-12-23 10:57:56,45.74332,3.08132,n1;s1;e1;o1;n2;s2;e2;e3;n4;s4;e4;n5;s5;
195,3650005,Evernia prunastri,2019-12-23 10:57:57,45.74332,3.08132,n1;s1;n2;s2;o3;n4;o4;n5;s5;
196,3650006,Candelaria concolor,2019-12-23 10:57:58,45.74332,3.08132,s1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
197,3650007,Flavoparmelia caperata/soredians,2019-12-23 10:58:00,45.74332,3.08132,s3;
198,3650008,Phaeophyscia orbicularis,2019-12-23 11:41:44,45.74332,3.08132,s1;e1;o1;e2;e3;e5;
199,3650009,Physcia adscendens/tenella,2019-12-23 11:41:45,45.74332,3.08132,e1;
200,3650010,Physcia aipolia/stellaris,2019-12-23 11:41:46,45.74332,3.08132,o1;e2;e4;
201,3650011,Physconia distorta,2019-12-23 11:41:48,45.74332,3.08132,s1;e2;
202,3650012,autre lichen foliacé,2019-12-23 11:41:48,45.74332,3.08132,e3;e5;o5;
204,3650014,Parmelia sulcata,2019-12-23 11:51:26,45.74343,3.08133,n1;s1;o1;n2;s2;o2;n3;o3;n4;s4;o4;n5;o5;
205,3650015,Pleurosticta acetabulum,2019-12-23 11:51:27,45.74343,3.08133,e1;o1;
206,3650016,Evernia prunastri,2019-12-23 11:51:28,45.74343,3.08133,o1;n2;n3;o3;n4;s4;o4;n5;o5;
207,3650017,Candelaria concolor,2019-12-23 11:51:29,45.74343,3.08133,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;n4;s4;e4;n5;s5;e5;
208,3650018,Phaeophyscia orbicularis,2019-12-23 11:51:30,45.74343,3.08133,e1;e2;e5;
209,3650019,Physcia adscendens/tenella,2019-12-23 11:51:31,45.74343,3.08133,n2;o2;o3;s4;s5;
210,3650020,Physcia aipolia/stellaris,2019-12-23 11:51:31,45.74343,3.08133,s1;e1;e2;o2;s5;o5;
211,3650021,Physconia distorta,2019-12-23 11:51:32,45.74343,3.08133,n2;s2;o2;
212,3650022,autre lichen foliacé,2019-12-23 11:51:33,45.74343,3.08133,e2;s3;e4;s5;e5;
213,3650023,Punctelia sp.,2019-12-23 11:51:34,45.74343,3.08133,s1;o2;o3;o4;
214,3650024,Flavoparmelia caperata/soredians,2019-12-23 11:56:19,45.74343,3.08133,s3;o4;
215,3650025,Parmelina tiliacea/pastillifera,2019-12-23 11:56:20,45.74343,3.08133,e2;
216,3650026,autre lichen foliacé,2019-12-23 11:56:22,45.74343,3.08133,o5;
219,3650607,Physcia adscendens/tenella,2019-12-26 17:16:28,45.74638,3.07909,n1;s1;e1;n2;s2;e2;n3;s3;e3;n4;s4;e4;n5;s5;e5;
220,3650608,Xanthoria parietina,2019-12-26 17:16:29,45.74638,3.07909,n1;s1;e1;o1;n2;n3;s3;e3;o3;n4;s4;e4;o4;n5;e5;
221,3650609,Parmelia sulcata,2019-12-26 17:16:30,45.74638,3.07909,n1;o1;o2;n3;s3;e3;n4;s4;e4;o4;n5;s5;o5;
222,3650610,Physconia distorta,2019-12-26 17:16:30,45.74638,3.07909,n1;o1;n2;s2;o3;n4;
223,3650611,Physcia aipolia/stellaris,2019-12-26 17:16:31,45.74638,3.07909,n1;e1;o1;n2;s2;e2;o2;n3;e3;o3;n4;e4;o4;n5;e5;o5;
224,3650612,Phaeophyscia orbicularis,2019-12-26 17:16:32,45.74638,3.07909,n1;e1;o1;n2;o2;n3;o3;s4;o4;n5;o5;
225,3650613,Evernia prunastri,2019-12-26 17:16:33,45.74638,3.07909,n2;o2;s4;o4;o5;
226,3650614,Pleurosticta acetabulum,2019-12-26 17:16:33,45.74638,3.07909,o1;o2;n4;
227,3650615,Physconia grisea,2019-12-26 17:16:34,45.74638,3.07909,s1;e1;o1;o2;o3;o4;
228,3650616,Melanohalea exasperata,2019-12-26 17:16:35,45.74638,3.07909,o3;
229,3650617,autre lichen foliacé,2019-12-26 17:18:03,45.74638,3.07909,o2;
230,3650618,Physcia adscendens/tenella,2019-12-26 17:33:19,45.74634,3.079,s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;o4;e5;o5;
231,3650619,Xanthoria parietina,2019-12-26 17:33:20,45.74634,3.079,n1;s1;e1;n3;s3;e3;o4;n5;e5;o5;
232,3650620,Parmelia sulcata,2019-12-26 17:33:22,45.74634,3.079,n1;s1;e1;n2;s2;n3;s3;e3;n4;n5;e5;
233,3650621,Physconia distorta,2019-12-26 17:33:23,45.74634,3.079,n1;s1;e1;n2;s2;n4;e4;o4;
234,3650622,Physcia aipolia/stellaris,2019-12-26 17:33:24,45.74634,3.079,e1;o1;s2;e2;o2;e3;o3;e4;o4;e5;
235,3650623,Phaeophyscia orbicularis,2019-12-26 17:33:25,45.74634,3.079,n1;s1;e1;o1;n2;s2;o2;n3;s3;o3;n4;e4;o4;o5;
236,3650624,Evernia prunastri,2019-12-26 17:33:26,45.74634,3.079,s1;n3;n4;n5;
237,3650625,Pleurosticta acetabulum,2019-12-26 17:33:27,45.74634,3.079,e1;n2;e2;n3;e3;e4;e5;
238,3650626,Physconia grisea,2019-12-26 17:33:28,45.74634,3.079,n1;e1;n2;e2;e3;e4;e5;
239,3650627,Melanohalea exasperata,2019-12-26 17:33:29,45.74634,3.079,
240,3650628,autre lichen foliacé,2019-12-26 17:37:45,45.74634,3.079,o1;
241,3650629,Flavoparmelia caperata/soredians,2019-12-26 17:37:45,45.74634,3.079,n1;n3;e4;
242,3650630,Hypogymnia physodes/tubulosa,2019-12-26 17:37:46,45.74634,3.079,n5;
243,3650631,autre lichen foliacé,2019-12-26 17:37:47,45.74634,3.079,n5;
247,3651602,Physcia adscendens/tenella,2020-01-02 09:18:34,49.10602,7.07165,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
248,3651603,Physcia adscendens/tenella,2020-01-02 09:18:35,49.10602,7.07165,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
249,3651604,Physcia adscendens/tenella,2020-01-02 09:18:35,49.10602,7.07165,s1;e1;o1;n2;s2;e2;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;
250,3651605,Xanthoria parietina,2020-01-02 09:18:37,49.10602,7.07165,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
251,3651606,Xanthoria parietina,2020-01-02 09:18:38,49.10602,7.07165,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
252,3651607,Xanthoria parietina,2020-01-02 09:18:39,49.10602,7.07165,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
253,3651608,Lecanora sp.,2020-01-02 09:18:40,49.10602,7.07165,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;n4;e4;n5;
254,3651609,Lecanora sp.,2020-01-02 09:18:41,49.10602,7.07165,s1;o1;s2;n3;s3;e3;o3;s4;e4;s5;e5;
255,3651610,Lecanora sp.,2020-01-02 09:18:42,49.10602,7.07165,s1;e1;o1;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;s5;e5;o5;
256,3651611,Amandinea punctata/Lecidella elaeochroma,2020-01-02 09:18:43,49.10602,7.07165,n1;s1;o1;n2;s2;o2;n3;e3;n4;n5;
