Identifiant,Espèce,id_site,id_arbre
3721045,Xanthoria parietina,nannan,
3721046,Physcia adscendens/tenella,nannan,
3721047,Phaeophyscia orbicularis,nannan,
3721048,Melanelixia glabratula/subaurifera,nannan,
3721049,Xanthoria parietina,nannan,
3721050,Physcia adscendens/tenella,nannan,
3722750,Parmotrema perlatum/reticulatum,nannan,
3722751,Flavoparmelia caperata/soredians,nannan,
3722752,Ramalina fastigiata (Pers.) Ach. [1810],nannan,
3722753,Punctelia sp.,nannan,
3722754,Physcia adscendens/tenella,nannan,
3722755,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3722761,Parmelia sulcata Taylor s.l.,nannan,
3722762,Flavoparmelia caperata/soredians,nannan,
3722763,Physcia adscendens/tenella,nannan,
3722764,Punctelia sp.,nannan,
3722765,Ramalina fastigiata (Pers.) Ach. [1810],nannan,
3722766,Lecanora sp.,nannan,
3722767,Parmotrema perlatum/reticulatum,nannan,
3722768,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3722769,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3722770,Pertusaria pertusa (Weigel) Tuck.,nannan,
3728362,Physcia adscendens/tenella,nannan,
3728363,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3728364,Physconia grisea (Lam.) Poelt [1965],nannan,
3728365,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3728366,autre lichen foliacé,nannan,
3728367,Lecanora sp.,nannan,
3728368,Physcia aipolia/stellaris,nannan,
3728369,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3728370,Melanohalea exasperata (DeNot.) O. Blanco,nannan,
3728371,Amandinea punctata/Lecidella elaeochroma,nannan,
3728373,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3728374,Physconia grisea (Lam.) Poelt [1965],nannan,
3728375,autre lichen foliacé,nannan,
3728376,Physcia aipolia/stellaris,nannan,
3728377,Melanohalea exasperata (DeNot.) O. Blanco,nannan,
3728378,lichen crustacé à aspect poudreux,nannan,
3728379,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3728380,Physcia adscendens/tenella,nannan,
3728381,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3728382,Physconia grisea (Lam.) Poelt [1965],nannan,
3728383,autre lichen foliacé,nannan,
3728384,Lecanora sp.,nannan,
3728385,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3728386,Amandinea punctata/Lecidella elaeochroma,nannan,
3728387,lichen crustacé à aspect poudreux,nannan,
3730102,Physcia adscendens/tenella,nannan,
3730103,Candelaria concolor (Dicks.) Stein,nannan,
3730104,autre lichen crustacé,nannan,
3730105,Diploicia canescens (Dicks.) A.Massal. [1852],nannan,
3730106,Flavoparmelia caperata/soredians,nannan,
3730107,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3730108,Physcia adscendens/tenella,nannan,
3730109,autre lichen crustacé,nannan,
3730110,lichen crustacé à aspect poudreux,nannan,
3730111,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3730112,Physcia adscendens/tenella,nannan,
3730113,Candelaria concolor (Dicks.) Stein,nannan,
3730114,autre lichen crustacé,nannan,
3730115,lichen crustacé à aspect poudreux,nannan,
3730116,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3730380,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3730381,Physcia adscendens/tenella,nannan,
3730382,Physconia grisea (Lam.) Poelt [1965],nannan,
3730383,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3730384,autre lichen foliacé,nannan,
3730385,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3730386,Physcia adscendens/tenella,nannan,
3730387,Physconia grisea (Lam.) Poelt [1965],nannan,
3730388,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3730389,Candelaria concolor (Dicks.) Stein,nannan,
3730391,Hypogymnia physodes/tubulosa,nannan,
3730392,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3730393,Physcia adscendens/tenella,nannan,
3730394,Physconia grisea (Lam.) Poelt [1965],nannan,
3730395,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3730396,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3731549,Physcia adscendens/tenella,nannan,
3731550,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3731551,autre lichen foliacé,nannan,
3731552,Physconia grisea (Lam.) Poelt [1965],nannan,
3731553,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3731554,Candelariella sp.,nannan,
3731555,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3731556,Physcia adscendens/tenella,nannan,
3731557,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3731558,autre lichen foliacé,nannan,
3731559,Physconia grisea (Lam.) Poelt [1965],nannan,
3731560,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3731561,Candelariella sp.,nannan,
3731562,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3731563,Physcia adscendens/tenella,nannan,
3731564,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3731565,autre lichen foliacé,nannan,
3731566,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3731567,Candelariella sp.,nannan,
3731568,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3731569,Candelaria concolor (Dicks.) Stein,nannan,
3731570,lichen crustacé à aspect poudreux,nannan,
3732457,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3732458,autre lichen foliacé,nannan,
3732459,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3732460,Lecanora sp.,nannan,
3732461,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3732462,Candelariella sp.,nannan,
3732463,autre lichen foliacé,nannan,
3732464,Physcia adscendens/tenella,nannan,
3732465,Physconia grisea (Lam.) Poelt [1965],nannan,
3732466,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3732467,autre lichen foliacé,nannan,
3732468,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3732469,Lecanora sp.,nannan,
3732470,Candelaria concolor (Dicks.) Stein,nannan,
3732471,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3732472,autre lichen foliacé,nannan,
3732473,Physcia adscendens/tenella,nannan,
3732474,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3732475,autre lichen foliacé,nannan,
3732476,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3732477,Lecanora sp.,nannan,
3732478,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3732479,Candelariella sp.,nannan,
3732480,autre lichen foliacé,nannan,
3732481,Physcia adscendens/tenella,nannan,
3732482,Amandinea punctata/Lecidella elaeochroma,nannan,
3732483,Melanohalea exasperata (DeNot.) O. Blanco,nannan,
3733291,Physconia grisea (Lam.) Poelt [1965],nannan,
3733292,autre lichen foliacé,nannan,
3733293,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3733294,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3733295,Physcia adscendens/tenella,nannan,
3733296,Melanelixia glabratula/subaurifera,nannan,
3733297,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3733298,Physcia aipolia/stellaris,nannan,
3733299,Physconia grisea (Lam.) Poelt [1965],nannan,
3733300,autre lichen foliacé,nannan,
3733301,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3733302,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3733303,Physcia adscendens/tenella,nannan,
3733304,Melanelixia glabratula/subaurifera,nannan,
3733305,Physcia aipolia/stellaris,nannan,
3733306,autre lichen foliacé,nannan,
3733307,Flavoparmelia caperata/soredians,nannan,
3733308,Candelaria concolor (Dicks.) Stein,nannan,
3733319,Melanohalea exasperata (DeNot.) O. Blanco,nannan,
3733320,Parmelina tiliacea/pastillifera,nannan,
3733321,Parmelia sulcata Taylor s.l.,nannan,
3733322,Lecanora sp.,nannan,
3733323,Evernia prunastri (L.) Ach. [1810],nannan,
3733324,Physconia grisea (Lam.) Poelt [1965],nannan,
3733325,autre lichen foliacé,nannan,
3733326,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3733327,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3733328,Physcia adscendens/tenella,nannan,
3733329,Melanelixia glabratula/subaurifera,nannan,
3733330,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3733331,autre lichen foliacé,nannan,
3733332,Candelaria concolor (Dicks.) Stein,nannan,
3733333,Melanohalea exasperata (DeNot.) O. Blanco,nannan,
3733334,Parmelia sulcata Taylor s.l.,nannan,
3733335,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3733336,Punctelia sp.,nannan,
3734203,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734204,Physcia adscendens/tenella,nannan,
3734205,Amandinea punctata/Lecidella elaeochroma,nannan,
3734206,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3734207,Parmelia sulcata Taylor s.l.,nannan,
3734208,Parmelina tiliacea/pastillifera,nannan,
3734209,Punctelia sp.,nannan,
3734210,Lecanora sp.,nannan,
3734211,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734216,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734217,Lecanora sp.,nannan,
3734218,Physcia adscendens/tenella,nannan,
3734219,autre lichen crustacé,nannan,
3734220,Amandinea punctata/Lecidella elaeochroma,nannan,
3734221,Flavoparmelia caperata/soredians,nannan,
3734222,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734223,Evernia prunastri (L.) Ach. [1810],nannan,
3734224,Parmelia sulcata Taylor s.l.,nannan,
3734225,Physconia distorta (With.) J. R. Laundon,nannan,
3734227,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734228,Lecanora sp.,nannan,
3734229,Physcia adscendens/tenella,nannan,
3734230,autre lichen crustacé,nannan,
3734231,Amandinea punctata/Lecidella elaeochroma,nannan,
3734232,Parmelia sulcata Taylor s.l.,nannan,
3734233,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734234,Ramalina farinacea (L.) Ach. [1810],nannan,
3734238,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734239,Lecanora sp.,nannan,
3734240,Physcia leptalea (Ach.) DC. [1805],nannan,
3734241,Parmelia sulcata Taylor s.l.,nannan,
3734242,Physcia adscendens/tenella,nannan,
3734243,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734244,Candelaria concolor (Dicks.) Stein,nannan,
3734245,Melanelixia glabratula/subaurifera,nannan,
3734246,Flavoparmelia caperata/soredians,nannan,
3734251,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734252,Physcia adscendens/tenella,nannan,
3734253,Amandinea punctata/Lecidella elaeochroma,nannan,
3734254,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3734255,Parmelia sulcata Taylor s.l.,nannan,
3734256,Parmelina tiliacea/pastillifera,nannan,
3734257,Punctelia sp.,nannan,
3734258,Lecanora sp.,nannan,
3734259,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734260,Candelaria concolor (Dicks.) Stein,nannan,
3734261,Lecanora sp.,nannan,
3734262,Physcia adscendens/tenella,nannan,
3734263,Candelaria concolor (Dicks.) Stein,nannan,
3734264,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734265,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734266,Amandinea punctata/Lecidella elaeochroma,nannan,
3734267,Punctelia sp.,nannan,
3734268,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734269,Physcia adscendens/tenella,nannan,
3734270,Diploicia canescens (Dicks.) A.Massal. [1852],nannan,
3734271,lichen crustacé à aspect poudreux,nannan,
3734272,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734273,Punctelia sp.,nannan,
3734280,Lecanora sp.,nannan,
3734281,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734282,autre lichen foliacé,nannan,
3734283,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734284,Candelaria concolor (Dicks.) Stein,nannan,
3734285,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3734286,Physcia aipolia/stellaris,nannan,
3734287,Physcia adscendens/tenella,nannan,
3734288,Physconia grisea (Lam.) Poelt [1965],nannan,
3734289,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3734290,Lecanora sp.,nannan,
3734291,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734292,autre lichen foliacé,nannan,
3734293,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734294,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3734295,Physcia aipolia/stellaris,nannan,
3734296,Physcia adscendens/tenella,nannan,
3734297,Physconia grisea (Lam.) Poelt [1965],nannan,
3734298,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3734299,autre lichen foliacé,nannan,
3734300,Lecanora sp.,nannan,
3734301,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734302,autre lichen foliacé,nannan,
3734303,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734304,Candelaria concolor (Dicks.) Stein,nannan,
3734305,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3734306,Physcia aipolia/stellaris,nannan,
3734307,Physcia adscendens/tenella,nannan,
3734308,Physconia grisea (Lam.) Poelt [1965],nannan,
3734309,autre lichen foliacé,nannan,
3734310,Parmelia sulcata Taylor s.l.,nannan,
3734311,Physconia distorta (With.) J. R. Laundon,nannan,
3734312,autre lichen foliacé,nannan,
3734313,Amandinea punctata/Lecidella elaeochroma,nannan,
3734948,autre lichen foliacé,nannan,
3734949,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734950,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734951,autre lichen foliacé,nannan,
3734952,Candelaria concolor (Dicks.) Stein,nannan,
3734953,Melanelixia glabratula/subaurifera,nannan,
3734954,Physcia adscendens/tenella,nannan,
3734955,autre lichen foliacé,nannan,
3734956,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734957,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734958,autre lichen foliacé,nannan,
3734959,Candelaria concolor (Dicks.) Stein,nannan,
3734960,Physcia adscendens/tenella,nannan,
3734961,Physcia aipolia/stellaris,nannan,
3734962,Physconia grisea (Lam.) Poelt [1965],nannan,
3734963,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3734964,autre lichen foliacé,nannan,
3734965,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3734966,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3734967,autre lichen foliacé,nannan,
3734968,Candelaria concolor (Dicks.) Stein,nannan,
3734969,Melanelixia glabratula/subaurifera,nannan,
3734970,Physcia adscendens/tenella,nannan,
3734971,Physconia grisea (Lam.) Poelt [1965],nannan,
3734972,Parmelia sulcata Taylor s.l.,nannan,
3734973,Punctelia sp.,nannan,
3735828,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3735829,autre lichen foliacé,nannan,
3735830,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3735831,Punctelia sp.,nannan,
3735832,Candelaria concolor (Dicks.) Stein,nannan,
3735833,autre lichen foliacé,nannan,
3735834,Lecanora sp.,nannan,
3735835,Physconia distorta (With.) J. R. Laundon,nannan,
3735836,Melanohalea exasperata (DeNot.) O. Blanco,nannan,
3735837,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3735838,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3735839,autre lichen foliacé,nannan,
3735840,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3735841,Punctelia sp.,nannan,
3735842,Candelaria concolor (Dicks.) Stein,nannan,
3735843,autre lichen foliacé,nannan,
3735844,Lecanora sp.,nannan,
3735845,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3735846,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3735850,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3735851,autre lichen foliacé,nannan,
3735852,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3735853,Punctelia sp.,nannan,
3735854,Candelaria concolor (Dicks.) Stein,nannan,
3735855,autre lichen foliacé,nannan,
3735856,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3735857,Physcia adscendens/tenella,nannan,
3735858,Parmelia sulcata Taylor s.l.,nannan,
3735859,Melanelixia glabratula/subaurifera,nannan,
3735860,Physconia grisea (Lam.) Poelt [1965],nannan,
3735861,Flavoparmelia caperata/soredians,nannan,
3735899,lichen crustacé à aspect poudreux,nannan,
3735900,autre lichen crustacé,nannan,
3735901,Amandinea punctata/Lecidella elaeochroma,nannan,
3735902,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3735903,Lecanora sp.,nannan,
3735904,Physcia adscendens/tenella,nannan,
3735905,autre lichen foliacé,nannan,
3735906,Candelaria concolor (Dicks.) Stein,nannan,
3735907,autres Melanohalea,nannan,
3735908,Parmotrema perlatum/reticulatum,nannan,
3735909,Parmelina tiliacea/pastillifera,nannan,
3735910,Punctelia sp.,nannan,
3735911,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3735912,Lecanora sp.,nannan,
3735913,Physcia adscendens/tenella,nannan,
3735914,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3735915,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3735916,Physcia adscendens/tenella,nannan,
3735917,Amandinea punctata/Lecidella elaeochroma,nannan,
3735918,Lecanora sp.,nannan,
3735919,Punctelia sp.,nannan,
3736241,Physcia adscendens/tenella,nannan,
3736242,Physcia adscendens/tenella,nannan,
3736243,Physcia adscendens/tenella,nannan,
3736244,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736245,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736246,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736247,Amandinea punctata/Lecidella elaeochroma,nannan,
3736248,Amandinea punctata/Lecidella elaeochroma,nannan,
3736249,Amandinea punctata/Lecidella elaeochroma,nannan,
3736250,autre lichen crustacé,nannan,
3736251,Lecanora sp.,nannan,
3736252,Candelaria concolor (Dicks.) Stein,nannan,
3736253,Flavoparmelia caperata/soredians,nannan,
3736254,Pleurosticta acetabulum (Neck.) Elix & Lumbsch [1988],nannan,
3736255,Melanohalea exasperatula (Nyl.) O. Blanco,nannan,
3736256,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3736257,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3736258,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3736259,Lecanora sp.,nannan,
3736260,Pertusaria pertusa (Weigel) Tuck.,nannan,
3736262,Candelaria concolor (Dicks.) Stein,nannan,
3736263,Flavoparmelia caperata/soredians,nannan,
3736264,Pertusaria pertusa (Weigel) Tuck.,nannan,
3736265,Candelaria concolor (Dicks.) Stein,nannan,
3736266,Phaeophyscia orbicularis (Neck.) Moberg [1977],nannan,
3736267,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3736345,Anaptychia ciliaris (L.) Körb. ex A.Massal. [1853],nannan,
3736441,Amandinea punctata/Lecidella elaeochroma,nannan,
3736442,Amandinea punctata/Lecidella elaeochroma,nannan,
3736443,Amandinea punctata/Lecidella elaeochroma,nannan,
3736610,Parmelia sulcata Taylor s.l.,nannan,
3736646,Amandinea punctata/Lecidella elaeochroma,nannan,
3736647,Physcia adscendens/tenella,nannan,
3736648,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736649,Amandinea punctata/Lecidella elaeochroma,nannan,
3736650,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736651,Physcia adscendens/tenella,nannan,
3736652,Candelariella sp.,nannan,
3736653,Amandinea punctata/Lecidella elaeochroma,nannan,
3736654,Physcia adscendens/tenella,nannan,
3736655,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736685,Physcia adscendens/tenella,nannan,
3736686,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736687,Amandinea punctata/Lecidella elaeochroma,nannan,
3736688,Physcia adscendens/tenella,nannan,
3736689,Candelariella sp.,nannan,
3736690,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736691,Amandinea punctata/Lecidella elaeochroma,nannan,
3736692,Physcia adscendens/tenella,nannan,
3736693,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3736694,Amandinea punctata/Lecidella elaeochroma,nannan,
3737131,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3737132,Amandinea punctata/Lecidella elaeochroma,nannan,
3737133,Physcia adscendens/tenella,nannan,
3737134,Lecanora sp.,nannan,
3737135,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3737136,Physcia adscendens/tenella,nannan,
3737137,Amandinea punctata/Lecidella elaeochroma,nannan,
3737138,Lecanora sp.,nannan,
3737139,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3737140,Physcia adscendens/tenella,nannan,
3737141,Amandinea punctata/Lecidella elaeochroma,nannan,
3737142,Lecanora sp.,nannan,
3738793,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738794,Physcia adscendens/tenella,nannan,
3738795,Amandinea punctata/Lecidella elaeochroma,nannan,
3738796,Lecanora sp.,nannan,
3738797,Punctelia sp.,nannan,
3738798,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738799,Physcia adscendens/tenella,nannan,
3738800,Amandinea punctata/Lecidella elaeochroma,nannan,
3738801,Lecanora sp.,nannan,
3738802,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738803,Amandinea punctata/Lecidella elaeochroma,nannan,
3738804,Lecanora sp.,nannan,
3738805,Punctelia sp.,nannan,
3738806,Physcia adscendens/tenella,nannan,
3738810,Ramalina fastigiata (Pers.) Ach. [1810],nannan,
3738811,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738812,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738813,Amandinea punctata/Lecidella elaeochroma,nannan,
3738814,Amandinea punctata/Lecidella elaeochroma,nannan,
3738815,Lecanora sp.,nannan,
3738816,Lecanora sp.,nannan,
3738817,Lecanora sp.,nannan,
3738818,Lecanora sp.,nannan,
3738819,Physcia adscendens/tenella,nannan,
3738820,Physcia adscendens/tenella,nannan,
3738821,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738822,Physcia adscendens/tenella,nannan,
3738823,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738824,Amandinea punctata/Lecidella elaeochroma,nannan,
3738825,Amandinea punctata/Lecidella elaeochroma,nannan,
3738826,Amandinea punctata/Lecidella elaeochroma,nannan,
3738827,Amandinea punctata/Lecidella elaeochroma,nannan,
3738828,Lecanora sp.,nannan,
3738829,Physcia adscendens/tenella,nannan,
3738830,Punctelia sp.,nannan,
3738831,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3738832,Ramalina fastigiata (Pers.) Ach. [1810],nannan,
3740629,Physconia grisea (Lam.) Poelt [1965],nannan,
3740630,Pertusaria pertusa (Weigel) Tuck.,nannan,
3740631,Physcia adscendens/tenella,nannan,
3740632,Lecanora sp.,nannan,
3740633,Amandinea punctata/Lecidella elaeochroma,nannan,
3740666,Null,nannan,
3740667,Hypogymnia physodes/tubulosa,nannan,
3740668,Amandinea punctata/Lecidella elaeochroma,nannan,
3740669,Physcia adscendens/tenella,nannan,
3740670,Flavoparmelia caperata/soredians,nannan,
3740671,Physcia aipolia/stellaris,nannan,
3740675,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740676,Amandinea punctata/Lecidella elaeochroma,nannan,
3740677,Flavoparmelia caperata/soredians,nannan,
3740678,Physcia adscendens/tenella,nannan,
3740679,Null,nannan,
3740680,Physcia adscendens/tenella,nannan,
3740681,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740682,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3740683,Amandinea punctata/Lecidella elaeochroma,nannan,
3740684,Candelaria concolor (Dicks.) Stein,nannan,
3740685,Physcia adscendens/tenella,nannan,
3740686,Lecanora sp.,nannan,
3740687,Amandinea punctata/Lecidella elaeochroma,nannan,
3740726,Parmotrema perlatum/reticulatum,nannan,
3740727,Amandinea punctata/Lecidella elaeochroma,nannan,
3740728,Lecanora sp.,nannan,
3740829,Flavoparmelia caperata/soredians,nannan,
3740830,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740831,Diploicia canescens (Dicks.) A.Massal. [1852],nannan,
3740832,Amandinea punctata/Lecidella elaeochroma,nannan,
3740833,Amandinea punctata/Lecidella elaeochroma,nannan,
3740834,Parmotrema perlatum/reticulatum,nannan,
3740835,Candelaria concolor (Dicks.) Stein,nannan,
3740840,Physcia adscendens/tenella,nannan,
3740841,Amandinea punctata/Lecidella elaeochroma,nannan,
3740842,Hypogymnia physodes/tubulosa,nannan,
3740843,Lecanora sp.,nannan,
3740844,Candelaria concolor (Dicks.) Stein,nannan,
3740849,Physcia adscendens/tenella,nannan,
3740850,Amandinea punctata/Lecidella elaeochroma,nannan,
3740855,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740856,Pertusaria pertusa (Weigel) Tuck.,nannan,
3740857,Amandinea punctata/Lecidella elaeochroma,nannan,
3740861,Physcia adscendens/tenella,nannan,
3740862,Candelaria concolor (Dicks.) Stein,nannan,
3740865,Physcia adscendens/tenella,nannan,
3740866,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740867,Candelaria concolor (Dicks.) Stein,nannan,
3740868,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740869,Pertusaria pertusa (Weigel) Tuck.,nannan,
3740870,Amandinea punctata/Lecidella elaeochroma,nannan,
3740871,Physconia grisea (Lam.) Poelt [1965],nannan,
3740928,Amandinea punctata/Lecidella elaeochroma,nannan,
3740929,Candelaria concolor (Dicks.) Stein,nannan,
3740930,Parmotrema perlatum/reticulatum,nannan,
3740931,Lecanora sp.,nannan,
3740932,Punctelia sp.,nannan,
3740933,Lecanora sp.,nannan,
3740934,Physcia adscendens/tenella,nannan,
3740935,Parmotrema perlatum/reticulatum,nannan,
3740936,Amandinea punctata/Lecidella elaeochroma,nannan,
3740937,Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt [1979],nannan,
3740938,Punctelia sp.,nannan,
3740939,Lecanora sp.,nannan,
3740940,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740941,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740942,Physcia adscendens/tenella,nannan,
3740943,Amandinea punctata/Lecidella elaeochroma,nannan,
3740944,Pertusaria pertusa (Weigel) Tuck.,nannan,
3740945,Xanthoria parietina (L.) Th.Fr. [1860],nannan,
3740946,Physcia adscendens/tenella,nannan,
3740947,Amandinea punctata/Lecidella elaeochroma,nannan,
3740948,Pertusaria pertusa (Weigel) Tuck.,nannan,
3740949,Hypogymnia physodes/tubulosa,nannan,
