Identifiant,Espèce,id_site,id_arbre
3648035,Physconia distorta,nannan,3734276.0
3648036,Flavoparmelia caperata/soredians,nannan,3734277.0
3648037,Phaeophyscia orbicularis,nannan,3734278.0
3649108,Hypogymnia physodes/tubulosa,nannan,3734945.0
3649109,autre lichen crustacé,nannan,3734946.0
3649110,Candelaria concolor,nannan,3734947.0
3649111,Hypogymnia physodes/tubulosa,nannan,3735811.0
3649112,autre lichen crustacé,nannan,3735812.0
3649113,Xanthoria parietina,nannan,3735813.0
3649114,Physcia adscendens/tenella,nannan,3735896.0
3649115,autre lichen crustacé,nannan,3735897.0
3649541,Physconia distorta,nannan,3735898.0
3649542,Candelaria concolor,nannan,3736234.0
3649543,Pleurosticta acetabulum,nannan,3736238.0
3649544,Parmelia sulcata,nannan,3736239.0
3649545,Physconia grisea,nannan,3736240.0
3649546,Evernia prunastri,nannan,3736344.0
3649547,Flavoparmelia caperata/soredians,nannan,3736435.0
3649548,autre lichen foliacé,nannan,3736436.0
3649549,Physcia adscendens/tenella,nannan,3736437.0
3649550,Melanelixia glabratula/subaurifera,nannan,3736438.0
3649552,Amandinea punctata/Lecidella elaeochroma,nannan,3736439.0
3649553,Xanthoria parietina,nannan,3736440.0
3649557,Physconia distorta,nannan,3736604.0
3649558,Candelaria concolor,nannan,3736605.0
3649559,Pleurosticta acetabulum,nannan,3736606.0
3649560,Parmelia sulcata,nannan,3736642.0
3649561,Physconia grisea,nannan,3736643.0
3649562,Punctelia sp.,nannan,3736644.0
3649563,Evernia prunastri,nannan,3736682.0
3649564,Flavoparmelia caperata/soredians,nannan,3736683.0
3649565,autre lichen foliacé,nannan,3736684.0
3649566,Physcia adscendens/tenella,nannan,3737128.0
3649567,Amandinea punctata/Lecidella elaeochroma,nannan,3737129.0
3649568,Xanthoria parietina,nannan,3737130.0
3649569,lichen crustacé à aspect poudreux,nannan,3738790.0
3649570,Melanohalea exasperata,nannan,3738791.0
3650002,Punctelia sp.,nannan,3738792.0
3650003,Pleurosticta acetabulum,nannan,3738807.0
3650004,Parmelia sulcata,nannan,3738808.0
3650005,Evernia prunastri,nannan,3738809.0
3650006,Candelaria concolor,nannan,3740627.0
3650007,Flavoparmelia caperata/soredians,nannan,3740628.0
3650008,Phaeophyscia orbicularis,nannan,3740665.0
3650009,Physcia adscendens/tenella,nannan,3740672.0
3650010,Physcia aipolia/stellaris,nannan,3740673.0
3650011,Physconia distorta,nannan,3740674.0
3650012,autre lichen foliacé,nannan,3740725.0
3650014,Parmelia sulcata,nannan,3740823.0
3650015,Pleurosticta acetabulum,nannan,3740824.0
3650016,Evernia prunastri,nannan,3740825.0
3650017,Candelaria concolor,nannan,3740827.0
3650018,Phaeophyscia orbicularis,nannan,3740828.0
3650019,Physcia adscendens/tenella,nannan,3740839.0
3650020,Physcia aipolia/stellaris,nannan,3740847.0
3650021,Physconia distorta,nannan,3740854.0
3650022,autre lichen foliacé,nannan,3740858.0
3650023,Punctelia sp.,nannan,3740859.0
3650024,Flavoparmelia caperata/soredians,nannan,3740863.0
3650025,Parmelina tiliacea/pastillifera,nannan,3740864.0
3650026,autre lichen foliacé,nannan,3740922.0
3650607,Physcia adscendens/tenella,nannan,3740923.0
3650608,Xanthoria parietina,nannan,3740924.0
3650609,Parmelia sulcata,nannan,3740925.0
3650610,Physconia distorta,nannan,3740926.0
3650611,Physcia aipolia/stellaris,nannan,3740927.0
3650612,Phaeophyscia orbicularis,nannan,3741057.0
3650613,Evernia prunastri,nannan,3741549.0
3650614,Pleurosticta acetabulum,nannan,3741551.0
3650615,Physconia grisea,nannan,3741552.0
3650616,Melanohalea exasperata,nannan,3741553.0
3650617,autre lichen foliacé,nannan,3741700.0
3650618,Physcia adscendens/tenella,nannan,3741701.0
3650619,Xanthoria parietina,nannan,3741702.0
3650620,Parmelia sulcata,nannan,3741996.0
3650621,Physconia distorta,nannan,3741997.0
3650622,Physcia aipolia/stellaris,nannan,3741998.0
3650623,Phaeophyscia orbicularis,nannan,3743016.0
3650624,Evernia prunastri,nannan,3743017.0
3650625,Pleurosticta acetabulum,nannan,3743018.0
3650626,Physconia grisea,nannan,3743117.0
3650627,Melanohalea exasperata,nannan,3743118.0
3650628,autre lichen foliacé,nannan,3743119.0
3650629,Flavoparmelia caperata/soredians,nannan,3743296.0
3650630,Hypogymnia physodes/tubulosa,nannan,3743297.0
3650631,autre lichen foliacé,nannan,3743298.0
3651602,Physcia adscendens/tenella,nannan,3743306.0
3651603,Physcia adscendens/tenella,nannan,3743307.0
3651604,Physcia adscendens/tenella,nannan,3743308.0
3651605,Xanthoria parietina,nannan,3743620.0
3651606,Xanthoria parietina,nannan,3743699.0
3651607,Xanthoria parietina,nannan,3743700.0
3651608,Lecanora sp.,nannan,3743701.0
3651609,Lecanora sp.,nannan,3743711.0
3651610,Lecanora sp.,nannan,3743713.0
3651611,Amandinea punctata/Lecidella elaeochroma,nannan,3743721.0
3651612,Amandinea punctata/Lecidella elaeochroma,nannan,3743781.0
3651613,Amandinea punctata/Lecidella elaeochroma,nannan,3743782.0
3651614,Evernia prunastri,nannan,3743783.0
3651615,Physcia leptalea,nannan,3743799.0
3651865,Evernia prunastri,nannan,3743800.0
3651866,Parmelia sulcata,nannan,3743801.0
3651867,Pleurosticta acetabulum,nannan,3743802.0
3651868,Xanthoria parietina,nannan,3743803.0
3651869,Physcia aipolia/stellaris,nannan,3743804.0
3651870,Physconia distorta,nannan,3743805.0
3651871,Physconia grisea,nannan,3743820.0
3651872,Physcia adscendens/tenella,nannan,3743821.0
3651873,Melanohalea exasperata,nannan,3743822.0
3651874,Hypogymnia physodes/tubulosa,nannan,3743880.0
3651879,autre lichen foliacé,nannan,3743881.0
3651880,Parmelina tiliacea/pastillifera,nannan,3743882.0
3651881,autre lichen foliacé,nannan,3743899.0
3651882,Phaeophyscia orbicularis,nannan,3743903.0
3651885,Evernia prunastri,nannan,3743907.0
3651886,Parmelia sulcata,nannan,3743910.0
3651887,Pleurosticta acetabulum,nannan,3743911.0
3651888,Xanthoria parietina,nannan,3743912.0
3651889,Flavoparmelia caperata/soredians,nannan,3743913.0
3651890,Physconia distorta,nannan,3743914.0
3651891,Physcia aipolia/stellaris,nannan,3743915.0
3651892,Physconia grisea,nannan,3745043.0
3651893,Physcia adscendens/tenella,nannan,3745044.0
3651894,Melanohalea exasperata,nannan,3745045.0
3651895,Phaeophyscia orbicularis,nannan,3746187.0
3651896,Lecanora sp.,nannan,3746188.0
3651897,Amandinea punctata/Lecidella elaeochroma,nannan,3746209.0
3651898,Melanelixia glabratula/subaurifera,nannan,3747606.0
3652400,Evernia prunastri,nannan,3747607.0
3652401,Physcia adscendens/tenella,nannan,3751185.0
3652402,Parmelia sulcata,nannan,3751187.0
3652403,Hypogymnia physodes/tubulosa,nannan,3751188.0
3652404,Punctelia sp.,nannan,3751189.0
3652405,Physconia grisea,nannan,3751921.0
3652406,Melanelixia glabratula/subaurifera,nannan,3752643.0
3652407,Flavoparmelia caperata/soredians,nannan,3753044.0
3652408,Parmelia saxatilis,nannan,3753045.0
3652409,lichen crustacé à aspect poudreux,nannan,3753046.0
3652410,Evernia prunastri,nannan,3757705.0
3652411,Physcia adscendens/tenella,nannan,3757706.0
3652412,Parmelia sulcata,nannan,3757707.0
3652413,Hypogymnia physodes/tubulosa,nannan,3757856.0
3652414,Xanthoria parietina,nannan,3757857.0
3652415,Punctelia sp.,nannan,3757858.0
3652416,Melanelixia glabratula/subaurifera,nannan,3767270.0
3652417,lichen crustacé à aspect poudreux,nannan,3767271.0
3652418,Physcia adscendens/tenella,nannan,3767272.0
3652419,Parmelia sulcata,nannan,3781299.0
3652420,Hypogymnia physodes/tubulosa,nannan,3781300.0
3652421,Xanthoria parietina,nannan,3781301.0
3652422,Punctelia sp.,nannan,3784447.0
3652423,Melanelixia glabratula/subaurifera,nannan,3784807.0
3652626,Phaeophyscia orbicularis,nannan,3784808.0
3652627,Xanthoria parietina,nannan,3784809.0
