"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur,"Cohérence entre la localité et les coordonnées GPS","Précision de la localisation",Station,"Indicateur de fiabilité","Détermination validée sur IdentiPlante","Score IdentiPlante",Abondance,Phénologie,"Présence d'un échantillon d'herbier","Date Création","Date Modification",Transmis,"Date Transmission",Observateur,"Structure de l'observateur",Déterminateur,"Source bibliographique",ext:altitude-releve,ext:circonference,ext:face-ombre,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:rue,ext:rue-arbres,ext:id_obs_arbre,ext:loc-sur-tronc,ext:com-arbres,ext:latitude-arbres,ext:longitude-arbres,ext:altitude-arbres
urn:lsid:tela-botanica.org:cel:3609322,3609322,"Acer platanoides L. [1753]",74934,"Acer platanoides L. [1753]",74934,Sapindaceae,bdtfx,certain,"observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,"Arbre 4 du relevé sTREETs repris pour le relevé Lichens Go ! Certitude : certaine",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,3,0,,,,0,"2019-07-30 18:10:02","2019-08-10 19:40:19",oui,"2019-07-30 18:10:02",,,,,297,93,ouest,45.826467,1.238365,3,"Avenue de Naugeat","Avenue de Naugeat",,,,,,
urn:lsid:tela-botanica.org:cel:3609324,3609324,"Parmelina tiliacea/pastillifera",652932,"Parmelina tiliacea/pastillifera",652932,,taxref,"à déterminer","observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:29","2019-07-30 18:32:30",oui,"2019-07-30 18:32:29",,,,,,,,,,,"Avenue de Naugeat",,0,n1;e1;n2;e2;n3;n4;n5;,,,,
urn:lsid:tela-botanica.org:cel:3609326,3609326,"Physcia adscendens/tenella",196232,"Physcia adscendens/tenella",196232,,taxref,"à déterminer","observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:31","2019-07-30 18:32:31",oui,"2019-07-30 18:32:31",,,,,,,,,,,"Avenue de Naugeat",,0,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3609327,3609327,"Parmelia sulcata",58889,"Parmelia sulcata",58889,,taxref,"à déterminer","observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:32","2019-07-30 18:32:32",oui,"2019-07-30 18:32:32",,,,,,,,,,,"Avenue de Naugeat",,0,n1;s1;e1;s2;e2;n3;s3;e3;n4;s4;n5;s5;e5;,,,,
urn:lsid:tela-botanica.org:cel:3609328,3609328,"Amandinea punctata/Lecidella elaeochroma",,"Amandinea punctata/Lecidella elaeochroma",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,45.82568,1.23840,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:33","2019-07-30 18:32:33",oui,"2019-07-30 18:32:33",,,,,,,,,,,"Avenue de Naugeat",,0,s2;s3;s4;s5;,,,,
urn:lsid:tela-botanica.org:cel:3609329,3609329,"Lecanora chlarotera",,,,,Autre/inconnu,certain,"observation de terrain",widget,1,45.82568,1.23840,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,3,0,,,,0,"2019-07-30 18:32:33","2019-07-30 18:32:34",oui,"2019-07-30 18:32:33",,,,,,,,,,,"Avenue de Naugeat",,0,e4;,,,,
urn:lsid:tela-botanica.org:cel:3609330,3609330,"Candelaria xanthostigma",,,,,Autre/inconnu,certain,"observation de terrain",widget,1,45.82575,1.23837,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,3,0,,,,0,"2019-07-30 18:32:34","2019-07-30 18:32:35",oui,"2019-07-30 18:32:34",,,,,,,,,,,"Avenue de Naugeat",,3609322,s1;e1;s2;e2;e3;o3;n4;e4;o4;s5;e5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3609331,3609331,"Xanthoria parietina",59568,"Xanthoria parietina",59568,,taxref,"à déterminer","observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:35","2019-07-30 18:32:35",oui,"2019-07-30 18:32:35",,,,,,,,,,,"Avenue de Naugeat",,0,s1;o1;o2;o3;e4;o4;n5;,,,,
urn:lsid:tela-botanica.org:cel:3609332,3609332,"Hypotrachyna afrorevoluta/revoluta",652938,"Hypotrachyna afrorevoluta/revoluta",652938,,taxref,"à déterminer","observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:36","2019-07-30 18:32:36",oui,"2019-07-30 18:32:36",,,,,,,,,,,"Avenue de Naugeat",,0,n1;o1;s2;o4;s5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3609333,3609333,"Hypogymnia physodes/tubulosa",193533,"Hypogymnia physodes/tubulosa",193533,,taxref,"à déterminer","observation de terrain",widget,1,45.82558,1.23844,WGS84,FR,Limoges,87085,,293,,,2019/06/17,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,2,0,,,,0,"2019-07-30 18:32:37","2019-07-30 18:32:37",oui,"2019-07-30 18:32:37",,,,,,,,,,,"Avenue de Naugeat",,0,e1;e2;e4;,,,,
